"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Thomas Pannone","Blue Jays","24","4.54","4.79","3.53","1.36","7.82","1.77",".228","1.26",".218","77.4 %","0.68","14.7 %","34.5 %","50.9 %","20.3 %","11.9 %","7.5 %","0.0 %","6.09","28.2 %","68.4 %","45.7 %","76.9 %","83.0 %","80.9 %","43.6 %","56.3 %","8.7 %","12.6 %","9.3 %","5.82","3.79","3.3 %","36.8 %","37.6 %","25.6 %","24.8 %","47.9 %","27.4 %","17281"
"Tyler Anderson","Rockies","28","4.55","8.39","3.02","2.78","8.44","1.53",".244","1.27",".281","71.9 %","0.93","24.0 %","36.7 %","39.3 %","11.1 %","15.2 %","7.6 %","14.3 %","4.21","30.1 %","70.2 %","48.8 %","58.5 %","84.1 %","75.7 %","46.6 %","65.0 %","11.9 %","22.3 %","8.0 %","4.22","4.86","14.3 %","43.1 %","34.3 %","22.7 %","20.9 %","45.6 %","33.5 %","12880"
"Chad Kuhl","Pirates","25","4.55","8.58","3.49","2.45","9.42","1.48",".265","1.44",".311","74.3 %","0.97","26.3 %","36.2 %","37.4 %","8.8 %","15.4 %","9.1 %","25.0 %","4.33","24.4 %","66.3 %","43.7 %","62.4 %","85.6 %","78.6 %","46.1 %","55.8 %","9.3 %","21.7 %","8.9 %","4.38","5.72","12.9 %","36.9 %","36.1 %","27.1 %","17.3 %","45.9 %","36.9 %","14975"
"Heath Fillmyer","Royals","24","4.56","6.34","3.42","1.85","9.00","1.14",".262","1.38",".292","70.9 %","1.47","23.6 %","45.5 %","30.9 %","13.2 %","13.2 %","7.0 %","100.0 %","4.56","28.1 %","66.9 %","44.6 %","62.4 %","89.0 %","79.3 %","42.4 %","59.7 %","9.2 %","16.7 %","9.0 %","4.85","6.59","7.7 %","43.9 %","34.8 %","21.3 %","15.8 %","43.0 %","41.2 %","17466"
"Brent Suter","Brewers","28","4.56","7.42","1.71","4.33","9.13","1.52",".255","1.20",".284","67.7 %","0.87","28.4 %","33.3 %","38.2 %","13.8 %","14.7 %","5.3 %","15.4 %","4.08","32.3 %","66.7 %","47.6 %","66.1 %","86.1 %","78.5 %","44.5 %","69.3 %","10.2 %","19.7 %","4.5 %","4.18","6.08","15.1 %","38.9 %","30.5 %","30.5 %","20.1 %","47.7 %","32.2 %","13942"
"Cody Reed","Reds","25","4.60","9.19","3.45","2.67","10.05","1.15",".276","1.50",".341","71.4 %","4.07","18.3 %","65.6 %","16.1 %","6.7 %","26.7 %","9.8 %","0.0 %","3.25","28.7 %","65.9 %","44.1 %","59.3 %","87.1 %","76.5 %","41.3 %","56.0 %","10.4 %","22.7 %","8.5 %","3.45","4.60","14.2 %","53.7 %","30.5 %","15.8 %","12.6 %","51.6 %","35.8 %","15232"
"Bryan Mitchell","Padres","27","4.61","4.92","5.40","0.91","9.53","1.27",".274","1.66",".289","78.8 %","1.96","23.2 %","50.8 %","25.9 %","16.7 %","16.7 %","1.1 %","0.0 %","5.32","22.4 %","67.7 %","43.0 %","75.4 %","90.7 %","86.4 %","45.6 %","53.2 %","5.9 %","12.2 %","13.4 %","5.86","3.49","-1.2 %","36.7 %","34.0 %","29.3 %","17.0 %","41.0 %","42.0 %","11479"
"Francisco Liriano","Tigers","34","4.65","7.45","4.92","1.51","8.54","1.30",".250","1.50",".284","67.3 %","1.60","21.6 %","48.3 %","30.1 %","6.0 %","16.4 %","5.4 %","28.6 %","4.71","29.1 %","63.8 %","41.6 %","64.4 %","85.0 %","75.8 %","36.0 %","53.6 %","10.1 %","18.9 %","12.5 %","5.04","4.65","6.4 %","39.3 %","31.4 %","29.3 %","16.6 %","49.2 %","34.2 %","3201"
"Luke Weaver","Cardinals","24","4.66","8.07","3.41","2.37","9.53","1.11",".266","1.44",".315","70.8 %","1.18","22.0 %","42.2 %","35.8 %","15.0 %","11.4 %","5.5 %","11.1 %","4.36","28.2 %","69.9 %","46.1 %","65.8 %","85.6 %","78.7 %","43.1 %","60.2 %","9.8 %","20.4 %","8.6 %","4.45","4.80","11.8 %","34.5 %","36.0 %","29.5 %","17.5 %","47.8 %","34.8 %","16918"
"Ian Kennedy","Royals","33","4.66","7.90","3.01","2.63","9.40","1.50",".262","1.38",".298","72.5 %","0.68","26.3 %","29.9 %","43.8 %","9.4 %","12.5 %","6.4 %","14.3 %","4.64","30.4 %","68.1 %","46.8 %","73.8 %","87.3 %","82.4 %","43.4 %","62.7 %","8.3 %","20.3 %","7.7 %","4.55","3.76","12.6 %","38.2 %","30.9 %","30.9 %","16.7 %","43.8 %","39.5 %","6986"
"Matt Koch","Diamondbacks","27","4.68","4.56","2.57","1.77","9.58","2.22",".276","1.35",".264","80.3 %","1.26","22.7 %","43.1 %","34.1 %","11.5 %","21.8 %","2.7 %","33.3 %","5.11","29.6 %","67.4 %","46.6 %","77.1 %","92.1 %","86.8 %","44.9 %","60.3 %","6.1 %","12.0 %","6.8 %","5.24","4.44","5.2 %","42.6 %","39.9 %","17.4 %","12.0 %","40.7 %","47.3 %","13420"
"Fernando Romero","Twins","23","4.69","7.28","3.07","2.37","9.70","0.97",".271","1.42",".318","70.9 %","1.48","22.5 %","46.2 %","31.2 %","14.8 %","11.1 %","3.8 %","0.0 %","4.55","30.1 %","70.6 %","47.9 %","61.1 %","86.9 %","77.8 %","44.0 %","54.7 %","10.6 %","18.2 %","7.7 %","4.50","3.72","10.5 %","33.0 %","41.5 %","25.6 %","15.3 %","43.8 %","40.9 %","15885"
"Michael Fulmer","Tigers","25","4.69","7.48","3.13","2.39","8.71","1.29",".252","1.31",".288","68.2 %","1.31","22.1 %","44.2 %","33.7 %","10.7 %","14.5 %","5.2 %","25.0 %","4.29","33.6 %","70.3 %","50.0 %","67.6 %","85.7 %","79.0 %","44.9 %","62.7 %","10.5 %","19.7 %","8.2 %","4.45","2.58","11.5 %","45.3 %","31.7 %","22.9 %","15.6 %","44.8 %","39.6 %","13218"
"Chris Stratton","Giants","27","4.70","6.92","3.24","2.14","9.21","1.08",".263","1.38",".301","68.3 %","1.35","25.6 %","42.7 %","31.7 %","3.6 %","12.2 %","6.4 %","0.0 %","4.37","27.9 %","67.1 %","45.5 %","71.4 %","86.5 %","81.4 %","45.1 %","62.3 %","8.5 %","18.1 %","8.4 %","4.66","4.70","9.6 %","34.8 %","38.0 %","27.2 %","11.8 %","46.8 %","41.4 %","13761"
"Ryan Yarbrough","Rays","26","4.71","6.91","2.51","2.75","9.42","0.94",".265","1.33",".307","61.5 %","1.17","28.6 %","38.5 %","33.0 %","20.0 %","10.0 %","2.9 %","0.0 %","4.40","31.0 %","71.0 %","49.0 %","75.6 %","91.2 %","85.8 %","45.1 %","56.9 %","7.0 %","17.9 %","6.5 %","4.51","4.71","11.4 %","36.3 %","36.3 %","27.5 %","18.7 %","44.0 %","37.4 %","16502"
"Matt Harvey","- - -","29","4.71","7.73","1.93","4.00","9.54","1.51",".265","1.28",".300","72.1 %","1.16","20.0 %","43.0 %","37.1 %","12.4 %","14.8 %","5.6 %","16.7 %","4.08","27.7 %","70.6 %","48.9 %","67.1 %","85.8 %","80.4 %","49.5 %","63.7 %","9.6 %","20.2 %","5.1 %","4.07","4.77","15.1 %","35.7 %","34.6 %","29.7 %","18.8 %","42.5 %","38.7 %","11713"
"Corey Oswalt","Mets","24","4.72","6.34","2.77","2.29","9.11","1.95",".258","1.32",".265","77.7 %","1.12","19.1 %","42.8 %","38.2 %","13.6 %","18.2 %","4.1 %","40.0 %","4.81","32.9 %","68.2 %","48.4 %","74.7 %","90.5 %","84.4 %","43.8 %","65.8 %","7.5 %","16.5 %","7.2 %","4.78","5.86","9.3 %","42.1 %","33.7 %","24.2 %","20.2 %","46.6 %","33.2 %","13677"
"Yonny Chirinos","Rays","24","4.73","8.35","3.06","2.73","10.02","0.84",".277","1.45",".340","69.9 %","1.55","25.3 %","45.5 %","29.3 %","6.9 %","10.3 %","4.4 %","100.0 %","4.09","32.8 %","72.9 %","48.8 %","65.3 %","84.1 %","76.5 %","40.0 %","61.1 %","11.5 %","20.8 %","7.6 %","4.17","2.78","13.2 %","48.0 %","32.0 %","20.0 %","13.0 %","45.0 %","42.0 %","16401"
"Nick Tropeano","Angels","27","4.74","7.58","3.67","2.06","8.05","1.89",".240","1.30",".256","76.3 %","0.91","22.4 %","37.0 %","40.6 %","10.1 %","18.0 %","7.4 %","0.0 %","4.71","29.0 %","66.5 %","44.0 %","54.6 %","85.4 %","73.2 %","40.0 %","56.0 %","11.8 %","20.3 %","9.8 %","4.69","4.86","10.4 %","47.5 %","28.3 %","24.2 %","13.2 %","43.4 %","43.4 %","12385"
"Jimmy Yacabonis","Orioles","26","4.76","6.99","3.49","2.00","9.21","1.59",".261","1.41",".286","75.0 %","0.90","14.9 %","40.2 %","44.8 %","10.3 %","12.8 %","5.7 %","50.0 %","5.36","27.4 %","63.2 %","43.0 %","62.5 %","86.1 %","77.6 %","43.7 %","54.4 %","9.6 %","17.6 %","8.8 %","4.91","4.13","8.8 %","41.6 %","27.0 %","31.5 %","20.2 %","56.2 %","23.6 %","15157"
"Zack Godley","Diamondbacks","28","4.77","9.29","4.06","2.29","8.93","0.81",".254","1.44",".323","67.2 %","1.74","22.9 %","49.0 %","28.1 %","10.0 %","11.4 %","4.9 %","30.8 %","3.96","31.4 %","62.4 %","43.6 %","53.9 %","88.9 %","73.6 %","39.3 %","60.2 %","11.5 %","23.3 %","10.2 %","4.19","4.97","13.1 %","44.6 %","35.0 %","20.4 %","19.0 %","42.5 %","38.6 %","14862"
"Zach Davies","Brewers","25","4.77","6.68","2.86","2.33","9.14","1.09",".263","1.33",".298","69.3 %","1.57","22.3 %","47.5 %","30.2 %","4.9 %","13.1 %","6.3 %","33.3 %","4.34","30.2 %","65.5 %","43.2 %","69.3 %","89.6 %","80.6 %","36.7 %","58.2 %","8.4 %","17.5 %","7.5 %","4.52","2.86","10.0 %","45.4 %","38.1 %","16.6 %","16.6 %","43.9 %","39.5 %","13183"
"Jordan Lyles","Padres","27","4.79","7.66","2.11","3.64","10.15","1.91",".279","1.36",".307","76.0 %","1.46","16.3 %","49.7 %","34.0 %","10.0 %","20.0 %","8.2 %","0.0 %","3.92","31.4 %","65.6 %","46.9 %","62.5 %","93.3 %","82.1 %","45.5 %","70.7 %","8.4 %","19.9 %","5.5 %","4.02","3.64","14.4 %","41.3 %","37.3 %","21.3 %","14.7 %","44.0 %","41.3 %","7593"
"Wei-Yin Chen","Marlins","32","4.79","7.49","3.17","2.36","8.84","1.28",".250","1.34",".284","68.2 %","0.86","19.9 %","37.0 %","43.2 %","12.1 %","10.9 %","6.7 %","33.3 %","4.73","28.7 %","67.9 %","45.0 %","71.0 %","87.3 %","81.2 %","41.6 %","63.1 %","8.5 %","19.4 %","8.2 %","4.63","4.25","11.2 %","39.8 %","33.0 %","27.2 %","17.0 %","50.7 %","32.3 %","13071"
"Nick Pivetta","Phillies","25","4.80","10.33","2.76","3.74","9.00","1.33",".257","1.31",".328","68.9 %","1.34","18.6 %","46.7 %","34.7 %","10.6 %","15.9 %","7.9 %","16.7 %","3.41","31.0 %","66.9 %","47.5 %","57.9 %","83.9 %","74.8 %","46.1 %","62.9 %","12.0 %","27.1 %","7.3 %","3.50","3.59","19.9 %","36.9 %","34.2 %","28.9 %","18.8 %","49.2 %","32.0 %","15454"
"David Hess","Orioles","24","4.84","6.28","3.23","1.94","9.33","1.88",".261","1.40",".270","72.3 %","0.76","19.0 %","35.0 %","46.0 %","11.3 %","14.0 %","7.0 %","100.0 %","5.52","28.6 %","71.6 %","47.4 %","70.6 %","88.9 %","82.7 %","43.7 %","61.7 %","8.2 %","15.9 %","8.2 %","5.14","3.59","7.7 %","40.2 %","33.8 %","25.9 %","18.6 %","49.1 %","32.3 %","16130"
"Danny Duffy","Royals","29","4.88","8.19","4.06","2.01","9.35","1.34",".261","1.49",".304","73.5 %","0.83","22.0 %","35.4 %","42.6 %","9.0 %","11.4 %","7.8 %","0.0 %","4.92","28.6 %","68.1 %","45.9 %","64.7 %","86.8 %","79.0 %","43.8 %","58.2 %","9.6 %","20.4 %","10.1 %","4.75","5.57","10.3 %","42.1 %","31.0 %","26.8 %","16.4 %","45.7 %","38.0 %","3542"
"Vince Velasquez","Phillies","26","4.88","9.89","3.58","2.76","8.46","0.99",".245","1.34",".316","66.5 %","0.92","21.4 %","37.8 %","40.9 %","11.5 %","10.2 %","7.6 %","13.3 %","4.10","28.7 %","66.8 %","46.1 %","61.6 %","82.2 %","75.2 %","45.9 %","59.5 %","11.4 %","25.6 %","9.3 %","3.99","4.32","16.3 %","38.6 %","34.8 %","26.6 %","15.5 %","51.6 %","32.8 %","11189"
"Aaron Sanchez","Blue Jays","25","4.89","7.37","4.97","1.48","9.09","0.94",".259","1.56",".304","70.1 %","1.55","19.3 %","49.1 %","31.7 %","6.9 %","10.8 %","3.2 %","0.0 %","4.98","26.7 %","65.6 %","42.4 %","62.8 %","86.1 %","77.4 %","40.5 %","58.9 %","9.6 %","18.1 %","12.2 %","5.10","4.37","5.9 %","42.7 %","32.8 %","24.5 %","20.4 %","46.1 %","33.4 %","11490"
"Alex Cobb","Orioles","30","4.90","6.03","2.54","2.37","10.16","1.42",".280","1.41",".303","68.0 %","1.57","19.0 %","49.5 %","31.5 %","11.3 %","15.1 %","8.4 %","42.9 %","4.47","31.2 %","64.3 %","45.4 %","72.3 %","91.1 %","83.7 %","43.0 %","60.5 %","7.4 %","15.4 %","6.5 %","4.62","3.43","8.9 %","40.0 %","36.3 %","23.6 %","20.9 %","46.9 %","32.2 %","6562"
"Brandon McCarthy","Braves","34","4.92","7.44","2.40","3.10","10.75","1.72",".296","1.46",".332","74.5 %","1.72","24.2 %","48.0 %","27.8 %","1.4 %","21.7 %","5.9 %","0.0 %","3.76","29.0 %","66.1 %","47.4 %","71.2 %","90.2 %","84.4 %","49.7 %","67.9 %","7.4 %","19.2 %","6.2 %","4.11","5.83","13.0 %","42.7 %","34.4 %","22.9 %","17.0 %","49.0 %","34.0 %","4662"
"Anthony DeSclafani","Reds","28","4.93","8.45","2.35","3.60","9.23","1.88",".261","1.29",".294","70.5 %","1.15","22.4 %","41.5 %","36.1 %","7.4 %","19.8 %","7.9 %","22.2 %","3.86","30.5 %","65.6 %","46.5 %","64.9 %","87.7 %","79.6 %","45.8 %","63.4 %","9.5 %","22.3 %","6.2 %","3.96","5.71","16.1 %","42.2 %","34.0 %","23.8 %","14.5 %","43.6 %","41.9 %","13050"
"Matt Shoemaker","Angels","31","4.94","9.58","2.90","3.30","8.42","0.87",".244","1.26",".313","64.3 %","1.28","22.4 %","43.5 %","34.1 %","0.0 %","10.3 %","10.8 %","100.0 %","3.64","33.2 %","64.8 %","46.7 %","53.7 %","84.8 %","72.1 %","42.7 %","68.5 %","13.0 %","25.4 %","7.7 %","3.76","4.65","17.7 %","46.5 %","36.1 %","17.4 %","8.1 %","41.9 %","50.0 %","4776"
"Lance Lynn","- - -","31","4.94","9.16","4.52","2.03","9.40","0.84",".264","1.55",".335","69.5 %","1.90","23.7 %","50.0 %","26.3 %","13.0 %","12.2 %","11.0 %","0.0 %","4.02","30.2 %","73.8 %","46.4 %","68.2 %","85.2 %","78.2 %","37.2 %","54.1 %","10.1 %","22.7 %","11.2 %","4.35","4.88","11.5 %","37.7 %","34.3 %","28.1 %","21.2 %","44.1 %","34.7 %","2520"
"Yu Darvish","Cubs","31","4.95","11.03","4.73","2.33","8.10","1.58",".232","1.43",".293","72.3 %","0.95","22.8 %","37.6 %","39.6 %","12.5 %","17.5 %","2.6 %","60.0 %","4.24","26.0 %","65.2 %","44.5 %","58.8 %","82.4 %","75.1 %","47.0 %","55.6 %","11.1 %","27.2 %","11.7 %","4.11","4.05","15.6 %","42.5 %","34.0 %","23.6 %","21.7 %","50.9 %","27.4 %","13074"
"Tyler Mahle","Reds","23","4.98","8.84","4.26","2.08","10.04","1.77",".277","1.59",".323","75.2 %","1.07","25.0 %","38.7 %","36.3 %","9.2 %","18.5 %","5.5 %","33.3 %","4.45","30.1 %","67.1 %","47.1 %","67.3 %","84.8 %","78.8 %","46.0 %","62.5 %","10.0 %","21.7 %","10.5 %","4.57","3.54","11.2 %","38.5 %","29.7 %","31.8 %","13.2 %","45.3 %","41.5 %","16358"
"Elieser Hernandez","Marlins","23","5.04","6.84","2.52","2.71","9.36","2.52",".271","1.32",".271","82.6 %","0.56","18.7 %","29.3 %","52.0 %","10.3 %","17.9 %","0.0 %","0.0 %","5.18","25.7 %","63.8 %","43.0 %","67.2 %","85.6 %","79.6 %","45.3 %","54.8 %","8.8 %","18.3 %","6.7 %","4.85","2.16","11.5 %","40.3 %","28.6 %","31.2 %","9.1 %","46.8 %","44.2 %","16933"
"Jon Gray","Rockies","26","5.12","9.56","2.72","3.52","9.40","1.41",".263","1.35",".322","67.9 %","1.56","22.2 %","47.5 %","30.3 %","10.7 %","18.1 %","6.0 %","60.0 %","3.47","28.1 %","66.0 %","45.3 %","48.6 %","85.1 %","72.7 %","45.4 %","63.3 %","12.4 %","24.6 %","7.0 %","3.68","5.80","17.6 %","39.5 %","32.3 %","28.1 %","16.0 %","47.9 %","36.1 %","14916"
"Sean Reid-Foley","Blue Jays","22","5.13","11.34","5.67","2.00","8.37","1.62",".242","1.56",".313","67.3 %","1.00","25.6 %","37.2 %","37.2 %","15.6 %","18.8 %","12.5 %","0.0 %","4.21","27.2 %","67.8 %","44.8 %","58.2 %","80.8 %","73.0 %","43.4 %","57.3 %","12.1 %","28.0 %","14.0 %","4.34","5.40","14.0 %","34.9 %","33.7 %","31.4 %","19.8 %","46.5 %","33.7 %","17034"
"Ty Blach","Giants","27","5.15","4.87","3.48","1.40","10.86","0.70",".299","1.59",".330","65.0 %","2.56","21.2 %","56.7 %","22.1 %","4.2 %","10.4 %","8.1 %","22.2 %","4.51","25.6 %","63.3 %","42.4 %","70.5 %","90.9 %","84.0 %","44.5 %","64.5 %","6.8 %","12.2 %","8.7 %","4.90","4.31","3.5 %","37.2 %","37.6 %","25.2 %","15.9 %","47.4 %","36.7 %","14361"
"Tyler Chatwood","Cubs","28","5.16","7.69","8.25","0.93","7.88","0.84",".237","1.79",".284","73.8 %","1.96","18.2 %","54.2 %","27.7 %","9.6 %","12.3 %","5.6 %","11.1 %","5.65","23.3 %","63.3 %","38.8 %","65.1 %","88.5 %","79.9 %","38.7 %","50.8 %","7.8 %","18.3 %","19.6 %","6.23","4.69","-1.3 %","42.9 %","30.4 %","26.7 %","18.7 %","52.4 %","28.9 %","4338"
"Daniel Gossett","Athletics","25","5.18","4.44","2.96","1.50","9.25","1.85",".269","1.36",".263","74.1 %","1.06","18.5 %","42.0 %","39.5 %","0.0 %","15.6 %","5.9 %","0.0 %","5.46","33.6 %","69.9 %","48.7 %","72.7 %","93.0 %","84.8 %","41.6 %","50.0 %","7.4 %","11.8 %","7.8 %","5.49","4.07","3.9 %","37.0 %","28.4 %","34.6 %","8.6 %","48.2 %","43.2 %","16164"
"Andrew Triggs","Athletics","29","5.23","9.36","3.92","2.39","8.06","1.52",".230","1.33",".270","70.5 %","1.28","15.5 %","47.4 %","37.1 %","7.0 %","16.3 %","1.8 %","100.0 %","4.32","29.8 %","62.6 %","42.1 %","61.5 %","89.9 %","77.3 %","37.3 %","56.0 %","9.5 %","23.6 %","9.9 %","4.21","5.01","13.7 %","44.9 %","32.2 %","22.9 %","16.1 %","43.2 %","40.7 %","13533"
"Tommy Milone","Nationals","31","5.24","8.06","0.40","20.00","12.49","1.61",".323","1.43",".375","73.0 %","0.67","24.7 %","30.1 %","45.2 %","12.1 %","12.1 %","13.6 %","33.3 %","4.08","44.3 %","60.9 %","50.7 %","67.7 %","88.9 %","77.6 %","38.8 %","67.4 %","11.4 %","20.4 %","1.0 %","3.92","4.43","19.4 %","39.5 %","32.9 %","27.6 %","15.8 %","44.7 %","39.5 %","7608"
"Sonny Gray","Yankees","28","5.26","8.60","3.98","2.16","9.48","1.04",".265","1.50",".323","68.4 %","1.68","22.4 %","48.7 %","29.0 %","8.2 %","13.4 %","7.4 %","16.7 %","4.18","28.3 %","63.0 %","42.5 %","57.1 %","88.7 %","76.3 %","40.8 %","56.9 %","10.1 %","21.3 %","9.9 %","4.37","6.13","11.5 %","36.7 %","37.0 %","26.4 %","17.3 %","47.5 %","35.2 %","12768"
"Chad Bettis","Rockies","29","5.28","6.28","3.72","1.69","9.00","1.40",".259","1.41",".280","69.3 %","1.53","19.8 %","48.5 %","31.7 %","4.7 %","15.9 %","7.3 %","0.0 %","4.74","27.0 %","65.2 %","42.9 %","64.6 %","89.0 %","80.1 %","41.7 %","62.8 %","8.6 %","16.2 %","9.6 %","4.96","5.94","6.6 %","44.4 %","31.3 %","24.4 %","20.3 %","46.1 %","33.6 %","10587"
"Andrew Cashner","Orioles","31","5.29","5.82","3.82","1.52","10.41","1.47",".289","1.58",".311","70.5 %","1.11","23.4 %","40.4 %","36.2 %","9.2 %","13.6 %","5.9 %","16.7 %","5.19","26.4 %","66.5 %","43.4 %","71.4 %","91.3 %","84.4 %","42.5 %","56.0 %","6.8 %","14.5 %","9.5 %","5.33","3.12","5.0 %","40.3 %","33.7 %","26.1 %","17.5 %","50.0 %","32.5 %","8782"
"Adam Plutko","Indians","26","5.29","7.01","2.65","2.65","8.87","2.25",".252","1.28",".255","74.8 %","0.46","15.7 %","26.7 %","57.6 %","11.6 %","14.0 %","1.8 %","66.7 %","5.47","33.2 %","72.4 %","49.9 %","73.8 %","87.9 %","82.5 %","42.6 %","58.5 %","8.7 %","18.5 %","7.0 %","5.03","6.09","11.5 %","38.5 %","29.6 %","31.9 %","17.4 %","46.5 %","36.2 %","15846"
"Eric Skoglund","Royals","25","5.29","6.35","2.38","2.67","8.47","1.59",".245","1.21",".259","66.0 %","1.02","18.5 %","41.2 %","40.3 %","7.1 %","14.1 %","6.9 %","50.0 %","4.87","30.2 %","70.3 %","47.3 %","69.4 %","92.5 %","84.1 %","42.8 %","60.7 %","7.5 %","16.8 %","6.3 %","4.67","3.97","10.5 %","35.7 %","35.2 %","29.1 %","14.1 %","45.1 %","40.9 %","16155"
"Nick Kingham","Pirates","26","5.32","8.24","3.04","2.71","9.63","2.15",".260","1.41",".281","70.2 %","1.03","21.9 %","39.7 %","38.4 %","9.3 %","19.8 %","10.1 %","0.0 %","4.56","31.8 %","67.7 %","46.5 %","61.7 %","87.6 %","77.2 %","41.1 %","61.1 %","10.6 %","20.3 %","7.5 %","4.38","4.82","12.8 %","47.1 %","34.4 %","18.5 %","17.2 %","46.3 %","36.6 %","11694"
"Clayton Richard","Padres","34","5.33","6.13","3.40","1.80","9.02","1.08",".260","1.38",".289","64.7 %","2.62","21.5 %","56.8 %","21.7 %","6.5 %","17.8 %","3.2 %","9.1 %","4.24","29.6 %","67.3 %","45.3 %","69.1 %","88.7 %","81.2 %","41.5 %","61.6 %","8.5 %","15.8 %","8.8 %","4.51","4.59","7.0 %","43.5 %","34.3 %","22.2 %","18.7 %","40.5 %","40.9 %","3551"
"Sam Gaviglio","Blue Jays","28","5.43","7.47","2.79","2.68","10.41","1.58",".282","1.47",".316","68.6 %","1.56","19.1 %","49.3 %","31.6 %","5.0 %","17.4 %","8.5 %","37.5 %","4.18","28.7 %","65.4 %","43.7 %","63.6 %","89.9 %","79.7 %","41.0 %","64.7 %","8.9 %","18.7 %","7.0 %","4.31","4.90","11.7 %","47.6 %","34.3 %","18.2 %","17.7 %","49.1 %","33.3 %","12778"
"Dylan Bundy","Orioles","25","5.45","9.65","2.83","3.41","9.86","2.15",".272","1.41",".316","69.3 %","0.74","20.0 %","34.0 %","46.0 %","8.7 %","17.8 %","9.4 %","50.0 %","4.28","33.5 %","68.4 %","50.1 %","56.8 %","84.3 %","74.7 %","47.5 %","62.0 %","12.7 %","24.5 %","7.2 %","3.94","4.88","17.3 %","40.7 %","31.4 %","27.9 %","15.2 %","50.2 %","34.6 %","12917"
"Sal Romano","Reds","24","5.48","6.44","3.36","1.92","9.66","1.51",".266","1.45",".287","67.8 %","1.35","21.7 %","45.0 %","33.3 %","11.2 %","15.4 %","4.1 %","57.1 %","4.72","29.2 %","66.1 %","45.7 %","66.8 %","91.6 %","82.8 %","44.7 %","57.8 %","7.9 %","16.1 %","8.4 %","4.88","5.07","7.7 %","41.1 %","32.8 %","26.2 %","18.4 %","44.7 %","36.9 %","13690"
"Dylan Covey","White Sox","26","5.50","6.89","3.94","1.75","9.77","0.98",".269","1.52",".308","59.8 %","2.20","20.1 %","55.0 %","24.9 %","6.8 %","13.6 %","4.1 %","50.0 %","4.32","26.0 %","65.3 %","44.3 %","68.2 %","90.8 %","83.8 %","46.7 %","60.9 %","7.2 %","17.0 %","9.7 %","4.62","3.94","7.3 %","38.7 %","37.1 %","24.2 %","17.8 %","47.6 %","34.5 %","14825"
"Daniel Norris","Tigers","25","5.50","10.00","3.75","2.67","9.00","2.00",".250","1.42",".292","74.2 %","0.59","29.1 %","26.2 %","44.7 %","13.0 %","17.4 %","11.1 %","0.0 %","4.47","30.8 %","67.2 %","47.3 %","63.7 %","90.2 %","80.8 %","45.4 %","56.5 %","9.1 %","24.8 %","9.3 %","4.21","3.00","15.5 %","42.3 %","31.7 %","26.0 %","17.3 %","38.5 %","44.2 %","13475"
"Steven Brault","Pirates","26","5.54","5.19","4.85","1.07","7.62","1.04",".229","1.38",".244","62.1 %","1.13","12.8 %","46.2 %","41.0 %","6.3 %","9.4 %","5.6 %","33.3 %","5.89","25.8 %","67.6 %","43.0 %","62.1 %","88.4 %","79.1 %","41.2 %","52.7 %","9.0 %","13.4 %","12.5 %","5.88","4.50","0.9 %","32.1 %","37.0 %","30.9 %","25.9 %","37.0 %","37.0 %","15291"
"Marcus Stroman","Blue Jays","27","5.54","6.77","3.17","2.14","10.11","0.79",".280","1.48",".326","60.5 %","3.11","17.9 %","62.1 %","20.0 %","3.0 %","13.6 %","6.8 %","25.0 %","3.84","28.8 %","64.6 %","43.6 %","62.9 %","89.5 %","79.2 %","41.5 %","60.4 %","9.1 %","17.2 %","8.0 %","4.04","4.05","9.1 %","47.0 %","33.8 %","19.2 %","21.0 %","45.8 %","33.2 %","13431"
