"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Leury Garcia","White Sox","29",".269","4.0%","20.8%","0.19",".300",".386",".686",".117",".326","2.10","20.0%","54.2%","25.8%","4.5%","10.1%","7.0%","10.0%",".293","37.7%","71.4%","52.6%","64.7%","87.9%","78.6%","44.3%","61.1%","11.2%","34.4%","32.4%","33.2%","14.4%","56.1%","29.6%","475","5913"
"Alex Gordon","Royals","36",".249","7.8%","17.2%","0.45",".324",".339",".663",".091",".292","1.45","24.9%","44.5%","30.7%","4.9%","6.6%","6.8%","40.0%",".292","31.3%","72.6%","48.9%","67.4%","88.3%","80.6%","42.6%","60.3%","9.5%","40.9%","38.2%","20.8%","14.6%","48.6%","36.7%","554","5209"
"Tyler Wade","Yankees","25",".215","8.8%","22.6%","0.39",".299",".372",".671",".157",".253","0.86","24.4%","34.9%","40.7%","11.4%","11.4%","3.3%","40.0%",".292","28.2%","65.0%","45.9%","66.7%","88.3%","81.4%","48.2%","63.5%","8.5%","41.8%","35.2%","23.1%","20.9%","51.7%","27.5%","137","15730"
"Joey Wendle","Rays","30",".247","5.9%","18.6%","0.32",".307",".365",".672",".119",".294","1.45","23.9%","45.1%","31.0%","3.4%","5.7%","8.6%","0.0%",".292","37.6%","60.8%","47.0%","70.7%","91.6%","81.6%","40.3%","62.9%","8.6%","35.2%","38.7%","26.1%","18.7%","50.4%","31.0%","388","13853"
"Ildemaro Vargas","- - -","28",".254","4.5%","11.2%","0.40",".285",".408",".693",".154",".260","1.88","19.9%","52.3%","27.8%","16.7%","11.9%","6.3%","0.0%",".292","30.1%","62.2%","43.8%","79.8%","92.9%","87.8%","42.7%","53.6%","5.4%","39.7%","33.1%","27.2%","21.2%","44.4%","34.4%","179","13324"
"Hunter Renfroe","- - -","28",".184","10.6%","30.8%","0.34",".274",".421",".695",".237",".198","0.76","11.5%","38.1%","50.4%","10.2%","19.7%","7.3%","0.0%",".292","30.0%","64.2%","43.5%","54.4%","80.0%","69.4%","39.7%","62.3%","13.3%","52.4%","30.6%","17.1%","17.1%","40.1%","42.9%","435","15464"
"Nick Martini","- - -","29",".226","12.8%","23.9%","0.54",".330",".323",".653",".097",".299","2.92","25.0%","55.9%","19.1%","0.0%","7.7%","5.3%","0.0%",".291","26.5%","59.5%","40.6%","78.9%","84.0%","82.1%","42.7%","55.1%","7.3%","39.7%","33.8%","26.5%","13.2%","50.0%","36.8%","109","12005"
"Harrison Bader","Cardinals","26",".196","11.2%","29.6%","0.38",".301",".370",".671",".174",".256","0.88","14.7%","39.8%","45.5%","11.5%","11.5%","13.1%","33.3%",".291","28.7%","57.5%","41.0%","63.3%","84.3%","75.9%","42.6%","61.1%","9.9%","44.4%","35.5%","20.1%","18.2%","46.3%","35.5%","375","18030"
"Pablo Sandoval","Giants","33",".244","6.6%","20.2%","0.33",".296",".394",".691",".150",".278","1.60","20.0%","49.2%","30.8%","11.7%","13.3%","6.3%","0.0%",".291","38.3%","76.4%","53.6%","68.6%","80.6%","75.5%","40.0%","60.7%","13.2%","30.5%","44.2%","25.4%","19.3%","40.1%","40.6%","272","5409"
"Derek Fisher","- - -","25",".184","14.1%","33.0%","0.43",".297",".367",".664",".184",".242","1.38","16.5%","48.5%","35.1%","5.9%","20.6%","2.1%","0.0%",".290","20.2%","58.7%","35.8%","43.5%","76.9%","65.7%","40.5%","56.8%","12.3%","41.8%","34.7%","23.5%","17.4%","45.9%","36.7%","185","16192"
"Jake Lamb","- - -","29",".186","13.3%","25.6%","0.52",".311",".341",".652",".155",".230","1.00","24.5%","37.7%","37.7%","6.7%","11.7%","5.0%","0.0%",".290","27.3%","65.4%","42.5%","56.3%","84.0%","73.3%","39.8%","54.1%","11.4%","39.0%","42.1%","18.9%","8.8%","35.9%","55.4%","270","13329"
"Michael Chavis","Red Sox","24",".239","6.1%","36.4%","0.17",".289",".391",".680",".152",".355","1.39","22.3%","45.2%","32.5%","6.3%","17.2%","7.9%","0.0%",".290","35.9%","73.8%","51.3%","43.1%","75.5%","62.0%","40.6%","57.8%","19.5%","38.1%","39.1%","22.8%","18.8%","47.2%","34.0%","346","17321"
"Shed Long","Mariners","24",".223","8.3%","26.4%","0.31",".287",".386",".674",".163",".279","2.02","14.5%","57.2%","28.3%","12.8%","17.0%","5.3%","0.0%",".290","28.6%","65.0%","45.0%","52.9%","80.1%","70.6%","45.1%","58.7%","13.2%","35.5%","38.6%","25.9%","21.7%","47.6%","30.7%","254","16542"
"Greg Allen","- - -","27",".242","5.0%","20.7%","0.24",".311",".354",".664",".111",".295","1.64","20.1%","49.7%","30.2%","8.9%","8.9%","9.5%","28.6%",".289","31.3%","67.2%","47.1%","57.8%","86.2%","75.6%","43.8%","63.5%","11.5%","48.1%","27.6%","24.4%","17.3%","52.6%","30.1%","222","16623"
"Tony Kemp","- - -","27",".213","10.6%","15.9%","0.67",".312",".346",".658",".133",".232","0.85","21.9%","35.9%","42.2%","6.2%","7.4%","0.0%","33.3%",".288","26.6%","69.4%","44.9%","71.3%","88.0%","82.4%","42.9%","64.0%","7.9%","42.3%","33.8%","23.9%","13.4%","53.2%","33.3%","283","14894"
"Yonder Alonso","- - -","32",".219","10.1%","19.3%","0.52",".303",".371",".674",".152",".250","1.29","22.9%","43.4%","33.7%","10.7%","10.7%","0.0%","0.0%",".288","32.7%","77.7%","51.4%","63.7%","85.0%","77.1%","41.5%","50.4%","11.8%","42.2%","42.2%","15.7%","22.9%","45.8%","31.3%","119","2530"
"Joe Panik","- - -","28",".251","8.8%","12.6%","0.70",".320",".335",".655",".085",".283","1.25","23.5%","42.5%","34.0%","10.6%","2.9%","2.3%","0.0%",".287","24.6%","65.9%","41.9%","78.8%","94.2%","88.9%","41.9%","56.8%","4.7%","37.9%","37.9%","24.3%","16.8%","47.9%","35.3%","396","11936"
"Justin Smoak","- - -","33",".184","12.7%","25.7%","0.50",".295",".365",".660",".181",".211","1.00","20.2%","39.9%","39.9%","8.9%","15.8%","6.9%","0.0%",".287","25.0%","65.6%","41.6%","54.0%","84.8%","73.9%","40.9%","57.6%","10.9%","50.6%","31.2%","18.2%","14.6%","46.3%","39.1%","417","9054"
"Reese McGuire","Blue Jays","25",".232","4.7%","19.3%","0.24",".269",".413",".682",".181",".252","1.56","23.4%","46.7%","29.9%","9.4%","18.8%","4.0%","16.7%",".287","38.6%","69.8%","52.6%","61.6%","92.1%","79.7%","44.8%","66.7%","10.7%","39.8%","31.0%","29.2%","21.2%","54.0%","24.8%","150","15674"
"Luis Rengifo","Angels","23",".220","10.5%","22.4%","0.47",".311",".337",".648",".117",".273","1.68","20.8%","49.6%","29.6%","18.5%","9.9%","5.2%","0.0%",".287","27.9%","62.2%","43.1%","65.5%","84.4%","77.6%","44.4%","58.0%","9.7%","43.1%","31.2%","25.7%","17.4%","52.9%","29.7%","419","19858"
"Andrelton Simmons","Angels","30",".257","7.4%","10.7%","0.69",".317",".334",".651",".077",".280","1.77","16.4%","53.5%","30.2%","19.3%","4.8%","5.4%","0.0%",".286","31.6%","63.9%","45.7%","76.8%","93.3%","86.8%","43.5%","63.0%","6.0%","44.4%","34.2%","21.5%","20.4%","51.6%","28.0%","338","10847"
"Stephen Piscotty","Athletics","29",".232","4.7%","25.6%","0.18",".274",".402",".676",".170",".272","1.35","21.2%","45.3%","33.5%","4.4%","17.7%","7.6%","0.0%",".286","42.2%","77.3%","56.7%","60.0%","79.7%","71.1%","41.2%","65.7%","16.4%","41.7%","35.3%","23.0%","10.3%","46.1%","43.6%","297","13367"
"Kyle Farmer","Reds","29",".244","6.0%","25.8%","0.23",".302",".351",".653",".107",".316","1.12","27.5%","38.3%","34.2%","9.8%","9.8%","10.9%","0.0%",".286","37.6%","64.1%","48.6%","59.3%","85.6%","73.7%","41.4%","61.5%","12.8%","43.0%","31.4%","25.6%","17.4%","44.6%","38.0%","182","14813"
"Erik Gonzalez","Pirates","28",".263","3.6%","25.0%","0.14",".288",".381",".669",".119",".335","1.87","25.4%","48.6%","26.0%","17.4%","8.7%","10.5%","0.0%",".285","37.8%","76.9%","53.6%","47.2%","87.0%","70.3%","40.5%","65.5%","15.9%","31.8%","36.9%","31.3%","23.5%","42.5%","34.1%","252","13369"
"Brandon Dixon","Tigers","27",".233","5.3%","30.9%","0.17",".279",".398",".678",".166",".310","0.90","23.5%","36.2%","40.4%","15.1%","11.6%","5.2%","0.0%",".285","35.8%","71.6%","51.0%","50.7%","79.2%","67.7%","42.5%","63.5%","16.4%","33.8%","39.4%","26.8%","18.3%","43.7%","38.0%","340","15214"
"Jose Trevino","Rangers","27",".255","2.9%","20.1%","0.14",".275",".403",".679",".148",".299","1.37","23.4%","44.3%","32.3%","17.7%","7.8%","7.1%","0.0%",".285","37.3%","57.7%","46.0%","71.4%","86.7%","79.6%","42.8%","67.9%","9.4%","38.1%","34.4%","27.5%","21.3%","39.4%","39.4%","209","16725"
"Ryan Goins","White Sox","32",".235","10.4%","26.0%","0.40",".320",".327",".647",".092",".321","1.47","16.8%","49.5%","33.6%","8.3%","5.6%","9.4%","50.0%",".285","26.0%","58.6%","39.5%","67.9%","81.5%","76.2%","41.3%","52.6%","9.4%","34.9%","33.0%","32.1%","13.8%","60.6%","25.7%","173","9807"
"Neil Walker","- - -","34",".234","9.8%","21.7%","0.45",".307",".348",".655",".115",".288","1.40","28.2%","42.0%","29.9%","9.6%","7.7%","2.7%","0.0%",".284","32.1%","70.8%","46.9%","62.4%","85.1%","75.5%","38.2%","61.4%","11.5%","42.0%","30.5%","27.6%","16.1%","49.4%","34.5%","254","7539"
"Russell Martin","Dodgers","36",".208","12.4%","26.0%","0.48",".325",".313",".638",".104",".271","1.86","20.0%","52.0%","28.0%","7.1%","14.3%","17.3%","0.0%",".284","23.6%","63.2%","41.5%","46.3%","86.7%","74.2%","45.3%","66.3%","10.7%","46.0%","32.0%","22.0%","16.0%","50.0%","34.0%","169","4616"
"Kevin Kiermaier","Rays","30",".225","6.6%","23.5%","0.28",".285",".378",".662",".153",".274","2.08","19.6%","54.3%","26.1%","9.2%","14.5%","7.6%","0.0%",".284","36.8%","75.0%","53.0%","61.2%","83.2%","74.4%","42.3%","64.3%","13.6%","42.3%","37.2%","20.5%","19.1%","48.5%","32.4%","426","11038"
"Johan Camargo","Braves","26",".225","5.4%","22.3%","0.24",".270",".402",".672",".176",".260","1.41","17.2%","48.4%","34.4%","9.4%","14.1%","5.6%","0.0%",".284","37.6%","73.2%","51.7%","64.1%","78.0%","71.9%","39.7%","61.9%","14.5%","46.5%","31.0%","22.5%","20.3%","47.6%","32.1%","260","14950"
"Cheslor Cuthbert","- - -","27",".245","5.8%","19.9%","0.29",".294",".369",".663",".124",".288","1.07","18.3%","42.3%","39.4%","20.0%","8.4%","5.9%","0.0%",".284","31.0%","73.0%","48.6%","62.0%","87.4%","78.0%","41.9%","67.6%","10.7%","43.2%","34.0%","22.8%","19.1%","43.6%","37.3%","327","10473"
"Yolmer Sanchez","White Sox","28",".253","8.1%","19.9%","0.41",".316",".332",".648",".079",".320","1.19","22.9%","41.8%","35.3%","10.3%","1.0%","8.7%","22.2%",".283","33.9%","68.0%","48.7%","67.9%","86.5%","79.2%","43.3%","64.5%","10.1%","31.0%","32.8%","36.3%","21.5%","52.1%","26.4%","397","11602"
"Gavin Lux","Dodgers","22",".207","9.7%","29.9%","0.33",".284",".372",".656",".165",".273","1.13","21.0%","42.0%","37.0%","3.3%","13.3%","0.0%","0.0%",".283","22.4%","65.4%","40.9%","58.3%","79.3%","72.7%","43.0%","60.5%","11.2%","38.3%","38.3%","23.5%","17.3%","35.8%","46.9%","134","19955"
"Chad Pinder","Athletics","28",".221","6.4%","26.3%","0.24",".279",".384",".662",".163",".273","1.44","19.5%","47.6%","33.0%","4.9%","14.8%","3.4%","0.0%",".283","32.0%","75.1%","50.1%","59.2%","85.8%","75.9%","41.9%","62.6%","12.1%","35.5%","40.3%","24.2%","10.2%","45.2%","44.6%","281","15191"
"Christin Stewart","Tigers","26",".226","6.1%","26.8%","0.23",".288",".373",".661",".147",".286","0.84","26.1%","33.8%","40.2%","9.6%","10.6%","1.3%","0.0%",".283","35.4%","67.7%","48.7%","59.3%","82.8%","72.7%","41.3%","59.1%","13.3%","42.7%","34.6%","22.7%","15.4%","50.0%","34.6%","362","17714"
"Travis Shaw","- - -","30",".199","12.7%","29.5%","0.43",".306",".329",".635",".130",".267","0.62","22.9%","29.4%","47.7%","8.2%","9.6%","2.2%","0.0%",".283","27.4%","69.2%","44.9%","62.2%","82.1%","75.1%","42.0%","59.7%","11.2%","42.5%","29.4%","28.1%","13.7%","52.9%","33.3%","268","11982"
"Jake Marisnick","- - -","29",".235","4.4%","29.5%","0.15",".276",".390",".665",".155",".314","1.32","18.9%","46.2%","35.0%","14.0%","12.0%","10.6%","0.0%",".283","35.9%","75.8%","53.4%","55.1%","85.4%","73.9%","43.9%","61.7%","13.9%","44.6%","29.1%","26.4%","21.6%","47.3%","31.1%","227","11339"
"Tim Beckham","Mariners","29",".213","6.5%","32.6%","0.20",".275",".386",".661",".173",".295","0.97","18.3%","40.2%","41.5%","8.8%","11.8%","15.2%","0.0%",".281","31.4%","66.7%","46.8%","45.1%","82.1%","68.2%","43.7%","60.1%","14.9%","40.2%","28.1%","31.7%","22.0%","41.5%","36.6%","138","7949"
"Austin Riley","Braves","23",".211","6.1%","30.8%","0.20",".267",".401",".668",".190",".262","0.79","22.4%","34.3%","43.3%","10.9%","16.4%","9.2%","0.0%",".281","39.8%","80.7%","55.5%","53.6%","79.5%","68.1%","38.4%","61.9%","17.7%","41.7%","33.9%","24.4%","20.8%","44.3%","34.9%","412","18360"
"Adam Jones","Diamondbacks","33",".244","6.4%","22.0%","0.29",".302",".347",".649",".103",".302","1.28","21.4%","44.2%","34.5%","11.3%","7.0%","8.8%","0.0%",".281","43.2%","73.7%","55.1%","59.2%","84.4%","72.3%","39.0%","66.1%","15.2%","43.0%","35.3%","21.7%","14.5%","51.7%","33.8%","295","6368"
"Richie Martin Jr.","Orioles","24",".242","3.9%","22.7%","0.17",".288",".364",".652",".121",".292","1.74","18.6%","51.7%","29.7%","17.1%","14.3%","13.1%","40.0%",".280","37.7%","68.1%","50.6%","68.2%","82.6%","76.5%","42.6%","70.2%","11.9%","32.8%","38.3%","28.9%","19.5%","53.1%","27.3%","181","17736"
"Juan Lagares","Mets","31",".232","8.2%","24.7%","0.33",".296",".361",".657",".129",".300","1.10","22.5%","40.5%","36.9%","12.2%","7.3%","13.3%","33.3%",".279","37.0%","64.5%","48.3%","65.7%","92.9%","80.6%","40.9%","64.1%","9.4%","23.7%","44.7%","31.6%","16.7%","57.0%","26.3%","170","5384"
"Jose Peraza","- - -","26",".251","3.4%","14.0%","0.24",".291",".355",".646",".104",".287","0.94","24.6%","36.4%","38.9%","11.0%","1.8%","2.0%","0.0%",".279","40.3%","77.2%","55.3%","69.3%","92.4%","82.4%","40.6%","66.6%","9.8%","35.6%","37.0%","27.4%","19.9%","47.3%","32.7%","350","13593"
"Guillermo Heredia","- - -","29",".214","7.9%","24.2%","0.33",".292",".346",".638",".132",".266","0.89","23.9%","35.9%","40.2%","17.0%","8.5%","7.1%","0.0%",".278","24.9%","75.3%","46.5%","65.4%","83.0%","77.6%","42.9%","63.5%","10.4%","38.5%","35.9%","25.6%","23.9%","44.4%","31.6%","178","18721"
"Tyler White","- - -","28",".202","13.9%","23.2%","0.60",".311",".310",".621",".109",".258","1.18","22.1%","42.1%","35.8%","8.8%","5.9%","5.0%","0.0%",".278","28.2%","61.2%","41.0%","70.4%","86.1%","79.5%","38.7%","53.6%","8.4%","40.0%","31.6%","28.4%","15.8%","48.4%","35.8%","151","15564"
"Addison Russell","Cubs","25",".225","8.3%","25.6%","0.33",".300",".350",".650",".125",".279","1.38","18.1%","47.4%","34.5%","2.5%","12.5%","9.1%","0.0%",".278","37.8%","68.1%","50.2%","56.1%","83.5%","71.4%","41.0%","72.8%","14.4%","39.7%","31.9%","28.5%","22.4%","50.0%","27.6%","180","14106"
"Ryan O'Hearn","Royals","26",".198","10.6%","30.1%","0.35",".282",".366",".647",".168",".250","1.31","20.8%","44.9%","34.3%","9.8%","18.0%","2.5%","0.0%",".277","30.2%","67.5%","45.5%","59.9%","85.0%","75.2%","41.1%","56.3%","11.3%","44.7%","35.8%","19.6%","13.4%","40.2%","46.4%","302","16442"
"Dwight Smith Jr.","Orioles","27",".220","9.1%","23.1%","0.39",".295",".341",".636",".122",".269","1.70","16.2%","52.8%","31.1%","10.0%","10.0%","7.1%","0.0%",".276","27.0%","62.5%","42.2%","55.4%","85.3%","74.4%","42.9%","62.0%","10.8%","41.4%","34.0%","24.7%","16.7%","54.3%","29.0%","242","13473"
"Mallex Smith","Mariners","27",".230","6.4%","24.0%","0.27",".296",".333",".629",".104",".302","1.76","18.7%","51.8%","29.4%","8.0%","4.6%","12.3%","12.5%",".275","31.2%","70.5%","49.0%","61.6%","81.4%","74.5%","45.3%","62.6%","12.5%","34.5%","35.5%","30.0%","24.4%","50.2%","25.4%","455","13608"
"Carter Kieboom","Nationals","22",".205","14.7%","27.5%","0.54",".343",".217",".560",".012",".304","1.31","32.7%","38.2%","29.1%","6.3%","0.0%","0.0%","0.0%",".275","26.9%","66.5%","42.7%","54.2%","90.8%","77.0%","40.0%","67.7%","9.8%","26.8%","39.3%","33.9%","17.9%","57.1%","25.0%","102","19958"
"Steve Wilkerson","Orioles","27",".212","6.6%","29.3%","0.23",".282",".355",".637",".143",".287","1.27","15.0%","47.6%","37.4%","7.3%","9.1%","4.3%","50.0%",".275","35.4%","64.9%","46.6%","63.9%","85.0%","75.1%","38.0%","57.4%","11.6%","44.3%","28.2%","27.5%","15.4%","53.7%","30.9%","242","16041"
"Curtis Granderson","Marlins","38",".183","11.6%","25.6%","0.45",".281",".349",".630",".166",".220","0.94","25.0%","36.3%","38.7%","6.3%","12.5%","2.2%","0.0%",".275","25.4%","59.4%","39.8%","60.6%","90.0%","79.2%","42.5%","67.3%","8.3%","51.6%","25.8%","22.6%","6.5%","45.2%","48.4%","199","4747"
"Sam Travis","Red Sox","25",".212","7.3%","24.0%","0.31",".273",".387",".660",".175",".240","1.65","11.8%","54.9%","33.3%","14.7%","17.7%","5.4%","0.0%",".274","37.5%","72.8%","52.3%","71.2%","86.5%","80.1%","41.9%","60.0%","10.4%","37.3%","37.3%","25.5%","19.6%","43.1%","37.3%","150","16263"
"Ronny Rodriguez","Tigers","27",".222","4.4%","24.1%","0.18",".253",".403",".656",".181",".238","0.96","19.3%","39.5%","41.3%","22.2%","17.8%","9.3%","25.0%",".273","47.2%","67.0%","54.9%","53.8%","75.0%","63.8%","38.8%","68.4%","19.9%","58.4%","25.7%","15.9%","20.4%","43.4%","36.3%","158","11875"
"Elvis Andrus","Rangers","31",".247","5.5%","14.3%","0.39",".286",".353",".639",".106",".271","1.84","18.8%","52.6%","28.6%","6.3%","7.0%","5.1%","100.0%",".273","34.7%","62.8%","46.8%","68.8%","91.7%","82.1%","43.3%","65.2%","8.4%","36.4%","38.6%","25.0%","14.5%","48.7%","36.8%","560","8709"
"Khris Davis","Athletics","32",".205","9.2%","28.8%","0.32",".286",".333",".619",".129",".265","1.14","21.5%","41.9%","36.7%","9.1%","13.1%","4.4%","0.0%",".272","31.1%","81.8%","51.9%","48.5%","76.0%","66.2%","41.0%","61.0%","17.5%","38.2%","37.0%","24.8%","13.3%","41.9%","44.8%","444","9112"
"Cole Tucker","Pirates","23",".234","6.0%","24.6%","0.24",".283",".344",".627",".110",".310","1.56","19.3%","49.1%","31.6%","13.9%","2.8%","5.4%","0.0%",".272","26.6%","67.7%","44.8%","54.8%","82.0%","73.1%","44.4%","58.7%","12.1%","47.8%","33.0%","19.1%","27.8%","48.7%","23.5%","167","17326"
"Melky Cabrera","Pirates","34",".248","3.9%","9.5%","0.41",".277",".365",".642",".117",".260","1.58","22.1%","47.7%","30.2%","13.3%","6.7%","8.4%","0.0%",".272","41.6%","73.5%","54.4%","76.1%","94.4%","86.1%","40.1%","64.1%","7.6%","35.0%","40.0%","25.0%","26.0%","41.5%","32.5%","231","4022"
"Derek Dietrich","- - -","30",".140","9.5%","28.1%","0.34",".305",".275",".580",".135",".180","0.93","22.6%","37.4%","40.0%","19.6%","10.9%","2.3%","0.0%",".271","34.1%","73.1%","50.5%","55.5%","78.1%","69.2%","42.0%","58.8%","15.5%","44.0%","31.9%","24.1%","18.1%","43.1%","38.8%","221","10542"
"Elias Diaz","- - -","29",".228","8.5%","18.4%","0.46",".298",".311",".609",".083",".274","1.40","19.7%","46.8%","33.5%","11.8%","4.4%","3.2%","0.0%",".270","29.7%","72.5%","47.4%","62.3%","87.0%","77.9%","41.3%","59.0%","10.5%","33.7%","35.1%","31.2%","28.8%","38.5%","32.7%","283","11680"
"Dawel Lugo","Tigers","25",".242","3.1%","20.7%","0.15",".268",".375",".643",".133",".287","1.89","21.9%","51.0%","27.0%","3.8%","9.4%","8.0%","0.0%",".269","45.1%","67.9%","54.1%","74.4%","85.9%","80.1%","39.5%","69.4%","10.7%","34.2%","36.7%","29.1%","14.3%","51.5%","34.2%","261","14713"
"Jace Peterson","- - -","30",".206","10.7%","24.0%","0.44",".293",".313",".606",".107",".255","1.38","21.7%","45.4%","33.0%","0.0%","9.4%","2.3%","0.0%",".269","26.7%","66.9%","43.4%","50.0%","84.3%","71.9%","41.5%","64.0%","12.2%","43.3%","30.9%","25.8%","14.4%","51.6%","34.0%","150","12325"
"Tony Wolters","Rockies","28",".238","8.4%","19.3%","0.44",".318",".278",".596",".040",".302","1.51","31.4%","41.3%","27.4%","10.1%","0.0%","6.7%","0.0%",".269","27.5%","63.6%","43.3%","61.0%","91.3%","80.5%","43.7%","60.1%","8.5%","35.3%","37.2%","27.5%","16.3%","55.0%","28.7%","368","11470"
"Cory Spangenberg","Brewers","28",".232","5.9%","35.3%","0.17",".277",".358",".635",".126",".351","4.50","18.5%","66.7%","14.8%","12.5%","25.0%","13.9%","33.3%",".267","40.6%","72.6%","54.2%","55.9%","77.1%","67.9%","42.3%","64.7%","17.4%","48.3%","30.0%","21.7%","26.7%","38.3%","35.0%","102","12294"
"Travis Demeritte","Tigers","25",".218","7.8%","35.3%","0.22",".286",".325",".611",".107",".339","1.02","23.1%","38.8%","38.0%","8.7%","6.5%","6.4%","0.0%",".267","28.8%","63.9%","44.3%","56.8%","72.7%","66.9%","44.2%","65.1%","14.7%","28.7%","41.0%","30.3%","16.4%","47.5%","36.1%","218","15958"
"Marco Hernandez","Red Sox","26",".250","1.9%","27.1%","0.07",".279",".338",".617",".088",".337","2.25","24.3%","52.4%","23.3%","4.2%","8.3%","13.0%","50.0%",".266","44.5%","81.4%","59.4%","53.7%","76.6%","66.4%","40.3%","64.5%","20.0%","30.8%","33.6%","35.5%","16.8%","57.0%","26.2%","155","13154"
"Nicky Lopez","Royals","25",".236","5.8%","14.8%","0.39",".285",".318",".603",".082",".275","2.86","18.0%","60.8%","21.3%","7.7%","3.9%","4.5%","18.8%",".264","30.5%","69.0%","48.1%","76.0%","90.1%","85.2%","45.9%","62.4%","7.1%","33.9%","38.1%","27.9%","20.6%","55.9%","23.5%","487","19339"
"Josh Rojas","Diamondbacks","26",".212","11.2%","25.1%","0.44",".302",".280",".583",".069",".284","1.34","23.7%","43.7%","32.6%","4.6%","4.6%","5.1%","100.0%",".264","27.6%","65.7%","43.4%","63.2%","80.1%","73.8%","41.3%","58.1%","11.4%","41.2%","36.8%","22.1%","14.7%","46.3%","39.0%","215","19734"
"Zack Collins","White Sox","25",".167","13.3%","36.7%","0.36",".286",".314",".599",".147",".255","0.67","22.4%","31.0%","46.6%","3.7%","11.1%","11.1%","0.0%",".264","19.9%","67.0%","40.8%","49.2%","71.5%","65.4%","44.4%","55.0%","14.1%","41.4%","36.2%","22.4%","12.1%","48.3%","39.7%","120","19181"
"Abraham Toro","Astros","23",".181","6.7%","22.8%","0.29",".267",".331",".598",".150",".209","1.74","20.0%","50.8%","29.2%","14.3%","14.3%","4.9%","0.0%",".263","33.0%","68.4%","48.1%","68.0%","87.8%","80.0%","42.6%","62.8%","9.6%","43.3%","34.2%","22.5%","20.8%","47.5%","31.7%","180","19844"
"Dee Gordon","Mariners","32",".252","4.4%","15.2%","0.29",".287",".318",".605",".066",".297","2.45","22.5%","55.0%","22.5%","12.5%","0.0%","8.0%","37.5%",".261","42.5%","71.8%","56.0%","76.0%","89.7%","84.1%","46.2%","67.1%","8.9%","33.1%","36.2%","30.7%","22.2%","58.8%","19.1%","322","8203"
"Ryan Cordell","- - -","28",".215","6.6%","27.2%","0.24",".270",".333",".604",".119",".272","0.80","15.1%","37.6%","47.3%","25.0%","9.1%","8.6%","16.7%",".260","37.0%","67.7%","50.0%","55.2%","81.6%","70.3%","42.3%","68.9%","14.9%","42.4%","31.3%","26.3%","23.2%","45.5%","31.3%","151","15181"
"Austin Barnes","Dodgers","30",".207","8.9%","26.2%","0.34",".280",".302",".582",".095",".277","0.92","15.0%","40.8%","44.2%","13.2%","3.8%","6.1%","33.3%",".258","22.1%","65.3%","41.6%","65.6%","83.2%","78.1%","45.2%","59.2%","9.1%","41.5%","39.8%","18.7%","22.8%","47.2%","30.1%","191","12158"
"Orlando Arcia","Brewers","25",".211","7.2%","18.8%","0.38",".269",".327",".597",".116",".236","1.64","18.4%","50.7%","30.9%","5.5%","11.0%","5.6%","25.0%",".257","32.7%","70.0%","48.2%","70.3%","85.2%","79.3%","41.5%","61.9%","10.0%","35.0%","39.5%","25.5%","16.8%","48.5%","34.7%","485","13185"
"Scott Heineman","Rangers","27",".189","7.9%","22.3%","0.35",".259",".331",".590",".142",".226","1.41","19.8%","46.9%","33.3%","12.5%","9.4%","6.7%","0.0%",".257","33.7%","69.7%","48.9%","57.1%","84.9%","73.9%","42.2%","67.6%","12.8%","35.4%","34.4%","30.2%","16.7%","46.9%","36.5%","139","14453"
"Matt Wieters","Cardinals","34",".179","7.3%","25.8%","0.28",".247",".352",".599",".173",".193","0.96","23.1%","37.6%","39.3%","6.5%","17.4%","2.3%","0.0%",".257","30.5%","65.9%","44.6%","69.7%","83.3%","77.7%","39.8%","61.8%","10.0%","35.9%","36.8%","27.4%","13.7%","46.2%","40.2%","178","4298"
"Tomas Nido","Mets","26",".205","6.8%","22.7%","0.30",".260",".344",".604",".139",".239","2.33","12.1%","61.5%","26.4%","12.5%","16.7%","7.1%","0.0%",".254","34.7%","82.3%","55.5%","54.7%","76.0%","68.4%","43.6%","61.4%","17.5%","40.9%","40.9%","18.3%","16.1%","51.6%","32.3%","132","13755"
"Max Stassi","- - -","28",".185","10.6%","25.3%","0.42",".271",".301",".572",".117",".214","1.13","21.3%","41.7%","37.0%","15.0%","12.5%","2.2%","0.0%",".254","27.6%","65.9%","45.3%","50.5%","80.1%","70.4%","46.3%","65.3%","13.4%","47.2%","35.2%","17.6%","13.9%","44.4%","41.7%","170","10059"
"Martin Prado","Marlins","35",".239","5.6%","16.8%","0.33",".280",".299",".579",".060",".281","1.18","25.8%","40.2%","34.0%","12.1%","3.0%","7.7%","0.0%",".253","30.9%","62.3%","44.9%","71.6%","97.0%","87.3%","44.7%","68.0%","5.7%","37.1%","34.0%","28.9%","15.5%","44.3%","40.2%","125","3312"
