"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Evan Longoria","Giants","34",".279","6.5%","21.6%","0.30",".331",".464",".795",".185",".318","1.38","21.3%","45.6%","33.1%","3.6%","17.9%","7.1%","0.0%",".334","32.3%","66.9%","46.2%","66.3%","84.0%","76.6%","40.3%","61.5%","10.8%","42.9%","38.8%","18.3%","10.7%","46.8%","42.6%","478","9368"
"Kole Calhoun","- - -","32",".223","11.4%","26.0%","0.44",".325",".468",".793",".245",".246","1.20","22.7%","42.3%","35.1%","7.9%","26.8%","0.7%","0.0%",".334","29.4%","75.4%","48.4%","49.9%","78.7%","68.4%","41.2%","57.3%","15.3%","57.0%","25.6%","17.4%","12.1%","46.8%","41.1%","597","11200"
"Aledmys Diaz","Astros","29",".252","11.0%","13.2%","0.83",".352",".426",".777",".174",".260","1.06","21.1%","40.6%","38.4%","11.8%","11.8%","3.7%","0.0%",".333","27.9%","67.5%","44.5%","64.0%","88.2%","79.4%","42.1%","53.9%","9.2%","48.1%","35.3%","16.5%","17.3%","54.9%","27.8%","182","15937"
"Jurickson Profar","- - -","27",".249","10.3%","14.1%","0.73",".336",".446",".782",".196",".254","1.28","24.6%","42.3%","33.1%","15.5%","16.4%","4.1%","0.0%",".333","28.2%","68.4%","44.9%","70.4%","88.5%","81.9%","41.6%","58.2%","8.2%","45.3%","28.5%","26.2%","18.5%","45.6%","35.9%","474","10815"
"Jackie Bradley Jr.","Red Sox","30",".247","9.5%","26.0%","0.37",".332",".455",".787",".208",".304","1.56","18.8%","49.4%","31.8%","5.6%","20.4%","8.3%","50.0%",".332","29.6%","70.2%","47.2%","57.8%","78.3%","71.0%","43.4%","61.0%","13.7%","39.2%","36.6%","24.3%","18.1%","48.3%","33.6%","546","12984"
"Ryan Zimmerman","Nationals","34",".292","6.7%","20.2%","0.33",".337",".448",".784",".156",".343","1.59","25.0%","46.1%","29.0%","18.2%","13.6%","2.9%","0.0%",".331","32.8%","53.1%","41.1%","61.3%","89.4%","76.3%","41.1%","63.5%","9.8%","42.1%","32.9%","25.0%","13.2%","39.5%","47.4%","104","4220"
"Willy Adames","Rays","24",".262","8.6%","29.3%","0.29",".329",".451",".780",".189",".347","1.41","24.1%","44.4%","31.5%","8.4%","19.6%","7.3%","0.0%",".331","27.5%","70.0%","45.7%","57.1%","83.1%","74.1%","42.9%","62.4%","11.8%","40.5%","35.6%","23.9%","13.7%","43.7%","42.6%","556","15986"
"James McCann","White Sox","30",".258","6.5%","29.7%","0.22",".321",".463",".784",".205",".331","1.39","24.2%","44.2%","31.7%","9.5%","23.8%","3.4%","0.0%",".331","35.5%","67.5%","49.1%","55.5%","83.7%","71.9%","42.5%","60.1%","13.8%","39.9%","34.2%","25.9%","14.3%","44.0%","41.7%","431","12859"
"Rowdy Tellez","Blue Jays","25",".243","8.2%","23.1%","0.35",".313",".483",".795",".240",".260","1.15","20.9%","42.3%","36.8%","6.8%","22.7%","4.0%","0.0%",".330","37.9%","64.7%","48.2%","59.9%","84.9%","72.7%","38.3%","59.7%","13.1%","39.3%","38.5%","22.2%","17.6%","41.8%","40.6%","355","15679"
"Mike Moustakas","- - -","31",".236","10.3%","17.5%","0.59",".326",".465",".790",".229",".237","0.89","17.0%","39.0%","44.0%","12.7%","16.7%","7.5%","100.0%",".330","32.7%","73.2%","48.8%","66.6%","85.9%","78.1%","39.7%","54.9%","10.7%","38.6%","33.9%","27.5%","19.9%","39.5%","40.6%","485","4892"
