"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Matt Strahm","Padres","28","2.94","8.63","0.92","9.40","7.53","1.10",".224","0.94",".269","82.6%","1.30","20.0%","45.2%","34.8%","19.1%","12.8%","6.6%","0.0%","3.84","33.6%","71.4%","52.3%","66.7%","85.2%","79.2%","49.5%","69.1%","10.9%","24.2%","2.6%","3.34","4.04","21.7%","45.6%","31.6%","22.8%","19.1%","40.4%","40.4%","","0","49.0","13799"
"Sean Newcomb","Braves","26","3.04","9.62","3.21","3.00","7.26","1.35",".214","1.16",".257","83.6%","1.60","17.6%","50.7%","31.7%","6.7%","17.8%","4.2%","50.0%","3.99","30.9%","67.2%","46.5%","70.3%","84.1%","78.9%","42.9%","54.3%","9.8%","25.6%","8.5%","3.81","6.08","17.0%","34.7%","37.5%","27.8%","13.9%","48.6%","37.5%","","0","53.1","16943"
"Stefan Crichton","Diamondbacks","28","3.09","9.64","3.09","3.13","7.52","0.77",".224","1.18",".292","80.5%","1.58","16.9%","50.8%","32.3%","7.5%","10.0%","11.1%","0.0%","4.02","29.7%","64.7%","44.4%","58.6%","89.2%","77.3%","42.2%","58.8%","10.1%","25.8%","8.3%","3.70","4.44","17.5%","43.1%","30.9%","26.0%","19.5%","31.7%","48.8%","","0","46.2","16058"
"Amir Garrett","Reds","28","3.09","12.76","5.10","2.50","6.45","1.21",".198","1.28",".283","84.0%","1.83","18.5%","52.7%","28.8%","9.5%","21.4%","3.9%","0.0%","3.49","32.9%","61.6%","43.7%","46.8%","73.0%","60.7%","37.6%","61.6%","17.2%","33.5%","13.4%","3.66","3.36","20.1%","45.6%","32.7%","21.8%","17.7%","42.9%","39.5%","","0","67.0","14375"
"David Hale","Yankees","32","3.09","6.18","2.06","3.00","9.48","0.41",".267","1.28",".314","77.5%","1.78","21.8%","50.0%","28.2%","22.5%","5.0%","5.6%","0.0%","4.41","33.3%","72.4%","48.9%","75.2%","88.6%","83.1%","39.9%","53.6%","8.3%","16.4%","5.5%","4.33","7.83","10.9%","42.3%","28.9%","28.9%","27.5%","45.1%","27.5%","","0","43.2","9756"
"J.B. Wendelken","Athletics","27","3.13","9.98","2.74","3.64","6.46","0.59",".190","1.02",".250","69.2%","0.75","18.3%","35.0%","46.7%","5.4%","5.4%","11.9%","50.0%","4.43","27.5%","70.1%","46.6%","58.4%","80.8%","73.5%","44.8%","57.4%","12.3%","26.8%","7.4%","3.70","6.46","19.5%","41.8%","30.3%","27.9%","14.8%","53.3%","32.0%","","0","46.0","14506"
"Archie Bradley","Diamondbacks","27","3.14","10.87","4.15","2.62","8.18","0.56",".239","1.37",".335","78.7%","1.41","25.9%","43.4%","30.7%","9.5%","7.9%","5.6%","0.0%","3.91","31.0%","65.2%","44.7%","65.1%","87.3%","78.0%","40.0%","59.4%","9.8%","28.0%","10.7%","3.88","1.68","17.3%","39.4%","29.3%","31.3%","15.4%","39.4%","45.2%","","0","80.1","12918"
"Anthony Bass","- - -","32","3.14","7.86","2.86","2.75","5.43","0.86",".173","0.92",".201","69.2%","1.87","17.2%","54.0%","28.8%","12.8%","12.8%","4.5%","0.0%","3.93","29.2%","65.9%","43.4%","58.5%","86.0%","74.6%","38.7%","63.1%","11.0%","22.8%","8.3%","3.93","2.43","14.5%","47.9%","28.5%","23.6%","21.8%","47.9%","30.3%","","0","63.0","7982"
"Ranger Suarez","Phillies","23","3.14","7.77","2.22","3.50","9.62","1.11",".271","1.32",".319","83.0%","2.45","22.4%","55.1%","22.4%","3.0%","18.2%","9.9%","0.0%","3.64","33.4%","66.6%","45.5%","67.3%","89.7%","79.3%","36.4%","51.2%","9.4%","20.5%","5.9%","3.74","5.36","14.6%","43.3%","35.3%","21.3%","14.7%","46.7%","38.7%","","0","48.2","17277"
"Andrew Kittredge","Rays","30","3.15","8.08","2.17","3.73","8.08","0.99",".240","1.14",".288","78.7%","1.76","19.2%","51.5%","29.2%","13.2%","13.2%","3.0%","0.0%","3.91","41.7%","68.6%","53.1%","57.4%","88.2%","74.2%","42.2%","69.0%","13.7%","22.3%","6.0%","3.75","4.93","16.3%","44.6%","26.2%","29.2%","23.9%","44.6%","31.5%","","0","45.2","12828"
"Trevor May","Twins","30","3.16","11.34","3.39","3.34","6.55","1.29",".194","1.10",".250","79.9%","0.78","25.3%","32.6%","42.1%","15.0%","13.8%","6.5%","100.0%","3.99","28.2%","70.7%","46.3%","52.4%","79.9%","70.3%","42.6%","60.6%","13.8%","30.3%","9.1%","3.51","4.56","21.3%","40.8%","31.9%","27.2%","17.8%","45.6%","36.7%","","0","77.0","6398"
"Ryan Buchter","- - -","33","3.16","10.17","5.08","2.00","8.24","1.75",".240","1.48",".289","90.6%","0.51","29.1%","23.9%","47.0%","9.5%","15.9%","3.1%","50.0%","5.19","26.5%","72.3%","46.3%","63.0%","81.1%","75.2%","43.1%","55.5%","11.5%","25.6%","12.8%","4.63","5.26","12.8%","42.8%","33.3%","23.9%","13.8%","43.5%","42.8%","","0","51.1","9456"
"Chris Martin","- - -","33","3.16","10.20","0.86","11.83","7.90","1.44",".234","0.97",".292","79.2%","1.52","20.1%","48.2%","31.7%","3.8%","19.2%","7.6%","0.0%","2.92","37.7%","72.2%","54.1%","65.6%","84.6%","77.7%","47.5%","72.3%","12.1%","29.3%","2.5%","2.77","3.30","26.9%","32.3%","40.2%","27.4%","17.1%","42.1%","40.9%","","0","62.2","11847"
"Carlos Martinez","Cardinals","27","3.17","9.87","3.35","2.94","7.26","0.37",".218","1.18",".298","73.4%","2.00","15.3%","56.5%","28.2%","2.9%","5.7%","11.4%","0.0%","3.76","35.0%","70.9%","49.7%","59.0%","85.4%","74.4%","41.0%","62.5%","12.7%","26.5%","9.0%","3.66","2.61","17.5%","38.1%","34.9%","27.0%","15.9%","46.0%","38.1%","","0","48.1","11682"
"Jimmy Cordero","- - -","27","3.20","7.28","2.49","2.93","7.11","0.89",".216","1.07",".252","76.9%","3.00","21.7%","58.7%","19.6%","7.1%","17.9%","4.8%","100.0%","3.79","39.0%","65.1%","50.5%","61.4%","83.6%","74.0%","44.0%","61.3%","13.1%","20.1%","6.9%","3.72","5.51","13.2%","45.8%","35.4%","18.8%","21.5%","52.8%","25.7%","","0","50.2","15690"
"Jake Newberry","Royals","25","3.21","8.14","4.93","1.65","8.57","1.71",".250","1.50",".281","89.0%","0.71","18.9%","33.6%","47.5%","10.3%","13.8%","7.3%","0.0%","5.84","29.3%","71.2%","43.7%","49.7%","87.8%","71.0%","34.5%","49.5%","12.7%","20.7%","12.5%","5.11","4.07","8.2%","37.7%","39.3%","23.0%","15.6%","47.5%","36.9%","","0","42.0","15136"
"Cam Bedrosian","Angels","28","3.22","9.05","3.53","2.57","7.21","0.92",".211","1.19",".259","68.1%","1.25","18.4%","45.4%","36.2%","6.8%","10.2%","5.4%","0.0%","4.52","27.9%","64.7%","43.6%","50.6%","86.7%","73.5%","42.8%","58.2%","11.5%","23.7%","9.2%","4.18","4.45","14.5%","34.2%","34.8%","31.1%","14.6%","43.3%","42.1%","","0","58.2","13360"
"Pedro Baez","Dodgers","32","3.22","8.56","3.11","2.75","5.56","0.89",".172","0.96",".205","66.4%","0.72","16.7%","34.8%","48.6%","17.6%","7.8%","8.2%","33.3%","4.98","35.4%","74.8%","50.5%","63.8%","77.0%","71.3%","38.5%","55.3%","14.5%","23.9%","8.7%","4.24","4.44","15.2%","45.1%","32.9%","22.1%","19.3%","41.3%","39.4%","","0","81.0","5420"
"Oliver Drake","Rays","33","3.23","10.86","3.23","3.36","5.72","1.32",".180","0.99",".224","79.0%","1.79","17.0%","53.2%","29.8%","11.9%","21.4%","5.3%","50.0%","3.28","33.5%","66.9%","48.7%","50.5%","75.6%","66.2%","45.6%","58.8%","16.5%","30.8%","9.2%","3.32","4.70","21.7%","45.5%","31.5%","23.1%","16.8%","46.2%","37.1%","","0","61.1","8823"
"Kenley Jansen","Dodgers","32","3.24","11.70","2.55","4.59","6.61","1.16",".195","1.02",".260","77.1%","0.66","23.4%","30.4%","46.2%","16.5%","11.8%","10.7%","71.4%","3.81","38.4%","72.0%","53.6%","58.9%","78.4%","70.8%","45.2%","68.0%","15.7%","31.7%","6.9%","3.16","2.09","24.8%","41.4%","30.9%","27.8%","18.3%","44.5%","37.2%","","0","77.2","3096"
"Hunter Wood","- - -","25","3.27","7.62","2.18","3.50","9.15","1.52",".253","1.26",".282","78.7%","0.69","22.5%","31.8%","45.7%","10.2%","11.9%","4.9%","0.0%","5.16","35.9%","70.7%","49.9%","69.9%","80.3%","75.8%","40.2%","59.3%","12.1%","19.8%","5.7%","4.45","5.01","14.1%","37.7%","31.5%","30.8%","16.2%","49.2%","34.6%","","0","41.1","15091"
"Jose Alvarez","Phillies","31","3.27","8.10","2.70","3.00","10.23","1.14",".285","1.44",".340","81.7%","1.83","24.2%","49.0%","26.8%","7.7%","15.4%","12.6%","0.0%","3.99","35.6%","72.5%","51.4%","68.2%","84.3%","77.9%","42.9%","63.7%","11.4%","20.9%","7.0%","4.03","4.55","13.9%","34.4%","41.5%","24.1%","16.4%","53.9%","29.7%","","0","63.1","5358"
"David Phelps","- - -","32","3.30","10.68","3.50","3.06","7.38","1.36",".221","1.21",".282","80.9%","1.04","17.9%","41.9%","40.2%","6.4%","14.9%","4.1%","0.0%","4.13","28.0%","66.6%","42.6%","68.1%","87.1%","79.3%","37.9%","56.3%","8.8%","28.7%","9.4%","3.67","6.60","19.3%","31.6%","41.0%","27.4%","16.2%","53.0%","30.8%","","0","46.1","6316"
"Tanner Rainey","Nationals","27","3.30","13.50","6.18","2.19","5.31","1.01",".169","1.28",".254","81.1%","1.45","19.7%","47.5%","32.8%","5.0%","17.5%","3.4%","33.3%","3.76","30.7%","71.1%","46.8%","42.7%","75.6%","62.6%","39.8%","53.9%","17.5%","35.2%","16.1%","3.94","4.31","19.1%","42.4%","36.0%","21.6%","17.6%","44.8%","37.6%","","0","62.2","17610"
"Brad Hand","Indians","30","3.31","12.84","2.91","4.41","7.81","0.79",".228","1.19",".340","75.1%","0.58","29.6%","25.8%","44.7%","8.5%","8.5%","9.8%","0.0%","3.65","34.0%","63.1%","46.6%","58.3%","82.7%","72.6%","43.3%","65.2%","12.8%","33.8%","7.7%","3.04","1.85","26.1%","44.4%","30.0%","25.6%","14.4%","45.6%","40.0%","","0","68.0","9111"
"Sam Dyson","- - -","31","3.32","7.94","1.88","4.23","7.65","0.87",".227","1.06",".273","71.0%","1.90","17.8%","53.8%","28.4%","10.4%","12.5%","11.0%","33.3%","3.75","30.3%","72.9%","49.2%","73.4%","87.2%","82.5%","44.3%","63.5%","8.6%","22.1%","5.2%","3.67","5.34","16.9%","35.4%","38.8%","25.8%","18.5%","52.3%","29.2%","","0","62.1","11710"
