"Name","Team","Age","ERA","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","xFIP","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","SIERA","RS/9","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","Start-IP","GS","IP","playerid"
"Josh James","Astros","27","5.26","14.26","5.26","2.71","7.48","1.66",".220","1.42",".321","70.7%","0.69","19.6%","32.9%","47.6%","10.3%","17.6%","8.5%","0.0%","4.05","26.8%","68.8%","44.9%","45.2%","75.4%","65.1%","43.1%","58.7%","15.7%","35.8%","13.2%","3.50","3.88","22.6%","32.2%","37.1%","30.8%","16.1%","44.1%","39.9%","","0","65.0","16794"
"Touki Toussaint","Braves","24","5.28","10.15","5.68","1.79","9.14","1.22",".257","1.65",".328","72.2%","1.06","17.2%","42.6%","40.2%","10.2%","12.2%","5.8%","33.3%","5.45","28.2%","64.0%","41.0%","51.7%","84.0%","69.7%","35.8%","54.6%","12.4%","23.9%","13.4%","4.75","6.09","10.5%","38.4%","32.0%","29.6%","15.2%","52.0%","32.8%","","0","44.1","16929"
"Chad Bettis","Rockies","30","5.36","5.90","2.32","2.54","10.37","1.43",".283","1.41",".305","66.4%","3.00","20.5%","59.6%","19.9%","17.6%","23.5%","5.9%","0.0%","4.32","30.3%","68.3%","47.1%","62.2%","90.5%","80.3%","44.2%","70.0%","9.3%","14.8%","5.8%","4.10","8.23","9.0%","39.0%","41.9%","19.2%","20.9%","41.9%","37.2%","","0","50.1","10587"
"A.J. Minter","Braves","26","5.40","10.35","5.85","1.77","9.90","0.68",".273","1.75",".366","70.4%","1.33","26.3%","42.1%","31.6%","5.6%","8.3%","4.2%","0.0%","4.70","33.7%","76.2%","51.3%","59.6%","78.8%","71.4%","41.3%","56.9%","14.7%","24.5%","13.8%","4.70","6.08","10.6%","37.4%","42.6%","20.0%","19.1%","34.8%","46.1%","","0","40.0","18655"
"Clay Holmes","Pirates","27","5.44","9.99","6.31","1.58","8.24","0.88",".234","1.62",".302","65.9%","2.74","17.7%","60.3%","22.0%","9.7%","16.1%","12.9%","0.0%","4.82","24.0%","58.0%","37.5%","47.4%","91.2%","74.3%","39.7%","55.3%","9.6%","23.2%","14.6%","4.71","2.98","8.5%","49.0%","33.6%","17.5%","25.2%","42.0%","32.9%","","0","51.1","13649"
"Joe Jimenez","Tigers","25","5.45","11.81","3.63","3.25","8.96","2.21",".256","1.40",".321","72.0%","0.64","21.5%","30.5%","48.0%","11.8%","20.0%","13.0%","0.0%","4.48","34.3%","67.7%","49.8%","59.9%","77.4%","70.9%","46.5%","67.4%","14.5%","29.9%","9.2%","3.62","3.12","20.7%","41.3%","37.4%","21.2%","17.3%","43.0%","39.7%","","0","69.1","15761"
"Trevor Gott","Giants","27","5.49","9.10","3.32","2.74","7.51","1.44",".221","1.20",".259","62.5%","0.89","18.1%","38.6%","43.3%","16.2%","13.5%","12.1%","0.0%","4.78","28.2%","72.7%","46.8%","64.6%","84.3%","77.5%","42.0%","59.0%","10.6%","24.1%","8.8%","4.14","4.33","15.3%","32.0%","38.4%","29.7%","22.1%","36.1%","41.9%","","0","62.1","15046"
"Jeurys Familia","Mets","30","5.50","9.41","6.48","1.45","8.92","0.98",".263","1.71",".337","71.0%","1.78","18.7%","52.0%","29.3%","6.9%","13.8%","8.7%","0.0%","5.03","30.2%","58.4%","41.6%","57.0%","85.9%","73.3%","40.2%","56.0%","11.1%","22.9%","15.8%","5.09","5.62","7.1%","46.3%","34.3%","19.4%","15.9%","49.3%","34.8%","","0","73.2","5114"
"Jonathan Holder","Yankees","27","5.51","9.37","2.94","3.19","9.37","1.47",".256","1.37",".307","62.3%","1.04","21.6%","39.9%","38.5%","15.8%","14.0%","8.5%","0.0%","4.53","34.0%","68.4%","49.1%","67.3%","82.4%","76.5%","43.9%","59.9%","11.5%","23.5%","7.4%","4.01","4.96","16.1%","49.3%","30.4%","20.3%","22.3%","41.9%","35.8%","","0","49.0","16588"
"Justin Anderson","Angels","26","5.55","11.49","6.13","1.88","8.04","1.15",".228","1.57",".305","64.6%","0.90","25.4%","35.2%","39.3%","14.6%","12.5%","2.3%","50.0%","4.80","29.6%","70.8%","45.8%","52.4%","86.7%","73.3%","39.4%","58.5%","12.3%","27.7%","14.8%","4.56","3.83","12.9%","40.3%","26.6%","33.1%","13.7%","46.8%","39.5%","","0","47.0","16201"
"Jose Ruiz","White Sox","25","5.58","7.81","5.36","1.46","12.05","1.34",".316","1.93",".369","74.0%","0.85","23.3%","35.3%","41.4%","20.0%","10.9%","12.8%","0.0%","6.12","33.4%","73.1%","49.5%","69.8%","84.8%","78.8%","40.6%","55.8%","10.5%","17.8%","12.2%","5.40","3.79","5.6%","38.5%","35.6%","25.9%","24.4%","47.4%","28.2%","","0","40.1","14552"
"Joe Biagini","- - -","29","5.61","8.35","3.91","2.13","10.57","1.96",".292","1.61",".333","73.6%","1.78","27.8%","46.2%","25.9%","10.9%","27.3%","9.2%","0.0%","4.29","32.3%","68.4%","45.4%","64.1%","83.7%","74.8%","36.2%","55.2%","11.4%","20.8%","9.7%","4.44","5.35","11.0%","43.7%","30.5%","25.8%","12.7%","47.4%","39.9%","","0","69.0","13194"
"Wandy Peralta","- - -","27","5.63","7.79","3.81","2.04","9.11","2.32",".258","1.44",".270","71.7%","1.72","20.5%","50.3%","29.2%","4.3%","29.8%","4.9%","40.0%","4.61","34.8%","68.6%","47.9%","56.2%","81.1%","70.0%","38.6%","54.4%","14.4%","19.7%","9.6%","4.52","3.64","10.0%","49.4%","28.9%","21.7%","15.1%","45.8%","39.2%","","0","54.1","14295"
"Edgar Garcia","- - -","23","5.66","10.02","6.31","1.59","8.27","2.40",".250","1.62",".284","79.5%","0.66","16.2%","33.3%","50.5%","3.8%","20.8%","2.9%","0.0%","5.64","30.4%","65.7%","42.7%","55.0%","85.6%","71.4%","34.8%","51.9%","12.2%","25.4%","16.0%","5.07","5.23","9.4%","37.7%","35.9%","26.4%","12.3%","40.6%","47.2%","","0","41.1","19276"
"Fernando Rodney","- - -","42","5.66","9.25","5.29","1.75","9.25","0.94",".269","1.62",".344","65.7%","1.74","21.8%","49.6%","28.6%","13.2%","13.2%","3.0%","0.0%","4.51","32.1%","63.0%","44.6%","63.7%","84.0%","75.3%","40.5%","59.5%","11.0%","23.3%","13.3%","4.69","3.21","10.0%","36.8%","31.6%","31.6%","18.8%","49.6%","31.6%","","0","47.2","494"
"Juan Nicasio","- - -","33","5.73","8.51","4.25","2.00","11.47","0.92",".305","1.75",".375","67.5%","1.64","27.9%","44.8%","27.3%","9.5%","11.9%","10.1%","66.7%","4.58","29.4%","71.7%","47.7%","74.7%","84.6%","81.2%","43.4%","63.6%","9.0%","20.2%","10.1%","4.60","2.96","10.1%","33.8%","33.8%","32.5%","17.8%","42.7%","39.5%","","0","48.2","7731"
"Robbie Erlin","- - -","29","5.76","8.95","2.28","3.93","11.83","1.37",".308","1.57",".373","65.5%","1.32","25.0%","42.7%","32.3%","6.5%","14.5%","13.4%","50.0%","4.15","32.3%","71.6%","48.4%","65.3%","87.7%","78.8%","40.9%","65.2%","10.2%","21.9%","5.6%","3.93","4.40","16.3%","42.3%","34.0%","23.7%","18.0%","36.6%","45.4%","","0","59.1","10354"
"Nestor Cortes","- - -","25","5.78","9.29","3.89","2.39","9.54","2.51",".266","1.49",".292","78.1%","0.77","20.4%","34.6%","45.0%","11.6%","21.1%","11.0%","100.0%","5.20","28.8%","68.5%","45.0%","69.4%","81.8%","77.1%","40.8%","62.8%","10.3%","23.1%","9.7%","4.42","4.90","13.4%","38.2%","34.4%","27.4%","20.3%","39.6%","40.1%","","0","71.2","17874"
"Wily Peralta","Royals","30","5.80","5.36","4.24","1.26","10.04","1.56",".290","1.59",".306","67.6%","1.34","20.8%","45.4%","33.8%","13.6%","15.9%","5.1%","100.0%","5.76","27.1%","73.0%","44.3%","66.7%","89.7%","80.9%","37.4%","56.8%","8.5%","13.6%","10.8%","5.58","1.12","2.8%","45.0%","32.1%","22.9%","15.3%","40.5%","44.3%","","0","40.1","7738"
"Branden Kline","Orioles","27","5.93","7.46","4.17","1.79","9.66","1.98",".270","1.54",".292","70.0%","1.14","26.0%","39.4%","34.6%","15.9%","20.5%","8.0%","0.0%","5.15","26.5%","70.6%","44.5%","59.5%","87.3%","77.5%","40.8%","54.1%","10.0%","18.6%","10.4%","4.98","4.17","8.2%","35.9%","35.9%","28.1%","22.7%","36.7%","40.6%","","0","41.0","14101"
"Dominic Leone","- - -","28","5.94","11.11","4.79","2.32","9.57","2.11",".267","1.60",".331","68.8%","0.88","26.0%","34.6%","39.4%","6.0%","22.0%","4.5%","0.0%","4.44","38.5%","70.3%","49.3%","54.2%","83.9%","68.6%","34.1%","62.3%","15.5%","27.4%","11.8%","4.16","4.98","15.6%","34.1%","40.3%","25.6%","10.1%","44.2%","45.7%","","0","47.0","13763"
"Matt Wisler","- - -","26","5.96","11.22","3.51","3.20","10.17","2.10",".275","1.52",".341","68.6%","1.02","22.9%","38.9%","38.2%","14.5%","21.8%","7.1%","33.3%","4.00","35.1%","66.2%","47.9%","54.6%","81.1%","69.6%","40.9%","64.9%","14.6%","27.7%","8.7%","3.70","4.56","19.1%","49.7%","29.9%","20.4%","20.4%","40.8%","38.8%","","0","51.1","12804"
"Tayron Guerrero","Marlins","28","6.26","8.41","7.04","1.19","8.22","1.37",".241","1.70",".282","67.4%","1.12","16.0%","44.3%","39.7%","9.6%","13.5%","6.9%","0.0%","6.33","31.8%","77.0%","50.3%","58.6%","82.4%","73.5%","41.0%","63.4%","13.3%","19.9%","16.7%","5.75","2.93","3.2%","38.2%","36.6%","25.2%","16.0%","39.7%","44.3%","","0","46.0","11691"
"Nick Kingham","- - -","27","6.30","6.75","4.05","1.67","11.70","1.58",".321","1.75",".360","69.8%","1.34","20.2%","45.7%","34.1%","11.4%","15.9%","11.9%","66.7%","5.25","32.5%","67.5%","46.4%","73.5%","86.6%","81.1%","39.8%","53.3%","8.8%","16.7%","10.0%","5.09","4.28","6.7%","43.2%","31.1%","25.8%","20.5%","42.4%","37.1%","","0","40.0","11694"
"Jorge Lopez","- - -","27","6.32","8.81","2.68","3.29","10.34","1.34",".283","1.45",".341","55.7%","1.62","18.1%","50.7%","31.3%","11.1%","15.6%","6.8%","0.0%","4.10","30.5%","70.3%","46.8%","60.1%","90.5%","78.8%","40.9%","60.7%","9.9%","22.3%","6.8%","3.88","4.40","15.5%","37.2%","33.1%","29.7%","15.9%","46.9%","37.2%","","0","47.0","14527"
"Bryan Shaw","- - -","32","6.35","7.15","4.04","1.77","9.46","1.50",".266","1.50",".296","63.9%","1.64","20.1%","49.6%","30.3%","4.1%","17.6%","7.4%","0.0%","5.08","25.6%","73.4%","45.1%","58.1%","87.3%","77.5%","40.9%","56.5%","10.1%","17.8%","10.0%","4.84","5.31","7.7%","32.5%","42.3%","25.2%","12.6%","50.8%","36.6%","","0","78.0","8110"
"Adam Conley","Marlins","29","6.53","7.86","4.30","1.83","11.27","1.48",".303","1.73",".351","67.0%","1.00","24.2%","37.9%","37.9%","8.3%","13.9%","11.1%","28.6%","5.41","31.3%","75.4%","50.7%","64.0%","87.5%","79.4%","44.0%","62.9%","10.5%","18.7%","10.3%","4.97","2.82","8.5%","32.5%","38.1%","29.4%","14.7%","45.7%","39.6%","","0","60.2","14457"
"Kelvin Herrera","White Sox","30","6.54","9.39","4.02","2.33","10.57","1.68",".285","1.62",".342","64.9%","0.90","26.7%","34.8%","38.5%","19.4%","16.1%","8.9%","25.0%","4.82","34.0%","70.0%","49.4%","67.2%","81.7%","76.0%","43.0%","65.9%","11.9%","22.8%","9.8%","4.43","3.52","13.0%","42.4%","27.9%","29.7%","19.4%","52.1%","28.5%","","0","53.2","6033"
"Corbin Burnes","Brewers","25","6.55","13.09","4.09","3.20","9.41","1.43",".264","1.50",".379","54.2%","1.21","23.6%","41.8%","34.5%","18.4%","18.4%","8.7%","0.0%","3.42","33.2%","68.1%","47.3%","41.7%","78.2%","63.0%","40.5%","58.5%","17.5%","32.8%","10.3%","3.34","5.73","22.6%","30.9%","40.0%","29.1%","16.4%","45.5%","38.2%","","0","44.0","19361"
"Wei-Yin Chen","Marlins","33","6.59","8.30","2.37","3.50","11.46","1.98",".306","1.54",".350","62.9%","0.95","25.1%","36.5%","38.4%","6.0%","17.9%","5.0%","0.0%","4.83","31.3%","72.0%","50.4%","65.5%","89.2%","81.4%","46.9%","59.3%","9.4%","20.5%","5.9%","4.25","3.03","14.7%","37.1%","36.2%","26.7%","13.6%","42.1%","44.3%","","0","68.1","13071"
"Jacob Barnes","- - -","29","6.65","8.52","4.57","1.86","9.76","1.25",".261","1.59",".308","54.3%","1.69","23.9%","47.8%","28.3%","5.1%","15.4%","9.1%","0.0%","4.75","27.0%","70.6%","43.0%","57.3%","88.9%","76.3%","36.7%","58.3%","10.2%","20.1%","10.8%","4.65","4.98","9.3%","43.9%","35.3%","20.9%","14.4%","41.7%","43.9%","","0","43.1","12323"
"Geoff Hartlieb","Pirates","26","7.42","9.13","4.94","1.85","11.98","1.71",".317","1.88",".380","64.1%","1.64","22.1%","48.3%","29.5%","4.5%","20.5%","5.6%","50.0%","4.66","30.3%","71.5%","48.0%","68.0%","82.5%","77.3%","43.1%","57.3%","10.9%","21.3%","11.6%","4.63","5.89","9.8%","45.7%","29.1%","25.2%","13.9%","49.0%","37.1%","","0","47.1","19558"
"Jeffrey Springs","- - -","27","7.46","9.22","5.49","1.68","12.29","1.54",".316","1.98",".383","66.5%","0.60","31.6%","25.6%","42.9%","7.0%","12.3%","8.8%","100.0%","5.81","29.1%","69.4%","47.1%","59.0%","77.9%","71.4%","44.7%","64.0%","13.5%","20.7%","12.3%","5.12","5.27","8.4%","33.6%","32.1%","34.3%","14.9%","48.5%","36.6%","","0","41.0","17677"
"Matt Grace","- - -","31","7.69","6.70","2.36","2.83","13.01","2.36",".337","1.71",".360","63.3%","1.71","22.8%","48.7%","28.5%","2.2%","26.7%","6.5%","100.0%","4.60","33.4%","65.5%","47.6%","67.7%","90.8%","81.8%","44.3%","65.2%","8.7%","16.2%","5.7%","4.45","5.12","10.5%","40.7%","35.2%","24.1%","11.7%","48.8%","39.5%","","0","45.2","11449"
"David Hernandez","Reds","34","8.02","11.18","4.22","2.65","11.18","1.48",".299","1.71",".393","54.5%","0.68","30.6%","28.1%","41.3%","14.0%","14.0%","8.8%","66.7%","4.54","35.3%","70.4%","50.4%","60.1%","77.3%","70.5%","43.0%","65.2%","14.9%","26.8%","10.1%","4.08","2.32","16.7%","36.3%","37.1%","26.6%","12.9%","41.9%","45.2%","","0","42.2","4259"
"Wade Davis","Rockies","34","9.13","8.54","6.35","1.34","10.72","1.79",".290","1.90",".336","54.4%","0.98","22.4%","38.5%","39.2%","12.5%","16.1%","7.3%","0.0%","6.02","30.2%","65.7%","43.5%","62.2%","86.6%","76.0%","37.5%","54.6%","10.4%","19.6%","14.6%","5.47","0.99","5.0%","43.4%","30.1%","26.6%","16.8%","42.7%","40.6%","","0","45.1","7441"
