,Name,wOBA_current_year,preds,PA
331,J.P. Crawford,0.295,0.32581501590405487,514
349,Pablo Sandoval,0.29100000000000004,0.32570799098722153,272
265,Victor Caratini,0.309,0.32561431213395414,349
446,Logan Forsythe,0.22899999999999998,0.3254808611078196,239
233,David Fletcher,0.316,0.3253150018838599,628
416,Scott Heineman,0.257,0.32487032020612067,139
317,Welington Castillo,0.298,0.3246622996641594,153
305,Isiah Kiner-Falefa,0.3,0.32446420374253054,296
347,Nick Martini,0.29100000000000004,0.3243888815076154,109
256,Mauricio Dubon,0.311,0.3242506175016715,242
198,Ryan McBroom,0.324,0.32420686853062886,162
310,Jorge Alfaro,0.299,0.3239252025368993,377
307,Roman Quinn,0.299,0.32377259225013133,189
377,Travis Shaw,0.28300000000000003,0.32358134945287176,268
428,Evan White,0.248,0.32337782397672427,161
357,Joe Panik,0.287,0.3232540310563844,396
342,Alex Gordon,0.292,0.3227879992890244,554
220,Avisail Garcia,0.32,0.32278633062228224,489
236,Francisco Mejia,0.316,0.322693265504541,228
420,Martin Prado,0.253,0.3226667784387436,125
326,Josh Reddick,0.297,0.3222700952400011,522
336,Harold Ramirez,0.294,0.32219310214087316,395
247,Maikel Franco,0.313,0.32208022514204365,421
313,Luis Urias,0.299,0.3218383107907588,328
302,Yadier Molina,0.3,0.32183075671136335,368
294,Tim Locastro,0.302,0.3214882570444223,264
383,Juan Lagares,0.27899999999999997,0.3212860111791171,170
368,Neil Walker,0.284,0.32121341001434744,254
285,Javier Baez,0.304,0.32052099042786547,520
396,Elvis Andrus,0.273,0.3204738232230416,560
300,Shogo Akiyama,0.301,0.32014609881146433,159
372,Cheslor Cuthbert,0.284,0.31987744066073626,327
403,Jace Peterson,0.26899999999999996,0.31984986836579515,150
359,Reese McGuire,0.287,0.3194685556721601,150
234,Amed Rosario,0.316,0.31937551229377364,548
380,Austin Riley,0.281,0.3191481168992303,412
249,Adam Haseley,0.313,0.3191135402799299,310
270,Tim Lopes,0.308,0.3190445226113153,243
255,Kevin Plawecki,0.312,0.31879594071430023,165
426,Jonathan Lucroy,0.249,0.31813545742114213,151
191,Jordy Mercer,0.326,0.3176717350635125,223
343,Tyler Wade,0.292,0.3176714267564201,137
334,Michael A. Taylor,0.294,0.3176594399976802,109
341,Leury Garcia,0.293,0.3175108270514261,475
366,Jose Trevino,0.285,0.31748394123648865,209
210,Jonathan Schoop,0.322,0.31735425025836983,442
363,Kyle Farmer,0.28600000000000003,0.3170954447495676,182
399,Melky Cabrera,0.272,0.31660159322912906,231
385,Guillermo Heredia,0.278,0.3164982166208295,178
419,Max Stassi,0.254,0.31615113749092094,170
216,Hanser Alberto,0.321,0.31604634814001087,582
344,Joey Wendle,0.292,0.3160460519189041,388
415,Orlando Arcia,0.257,0.3158394311123111,485
316,Delino DeShields,0.298,0.3157355166412379,393
244,Adam Engel,0.314,0.31536143681320106,266
400,Derek Dietrich,0.271,0.31534802814287777,221
402,Dawel Lugo,0.26899999999999996,0.3147334172768079,261
373,Yolmer Sanchez,0.28300000000000003,0.31469261085431777,397
360,Luis Rengifo,0.287,0.31462185997039405,419
321,Danny Mendick,0.297,0.31458533817374734,154
365,Brandon Dixon,0.285,0.31435247636212427,340
297,Yairo Munoz,0.301,0.31426738762793255,180
387,Addison Russell,0.278,0.3142124969842065,180
389,Dwight Smith Jr.,0.276,0.31418054644280513,242
364,Erik Gonzalez,0.285,0.3141175303307852,252
353,Shed Long,0.29,0.31403137511932055,254
378,Jake Marisnick,0.28300000000000003,0.31396378750179343,227
303,Harold Castro,0.3,0.31388177549796686,378
354,Greg Allen,0.289,0.3138335814735614,222
290,Raimel Tapia,0.302,0.31367353213349114,424
370,Kevin Kiermaier,0.284,0.3135232439169893,426
213,Jose Iglesias,0.322,0.3123589513005605,468
433,Sandy Leon,0.243,0.31216717524068666,209
411,Abraham Toro,0.263,0.312094518337915,180
401,Elias Diaz,0.27,0.3119177823925301,283
409,Josh Rojas,0.264,0.3114182856296675,215
367,Ryan Goins,0.285,0.31104882715458626,173
371,Johan Camargo,0.284,0.3108798447525664,260
384,Jose Peraza,0.27899999999999997,0.3104950864134294,350
441,Brett Phillips,0.23600000000000002,0.3103668547787295,119
438,Isan Diaz,0.24,0.31014182482293495,223
356,Yonder Alonso,0.28800000000000003,0.30968527673383317,119
382,Richie Martin Jr.,0.28,0.3090505231659819,181
361,Andrelton Simmons,0.28600000000000003,0.30891704593811775,338
392,Steve Wilkerson,0.275,0.30878674966074987,242
381,Adam Jones,0.281,0.3083289724462299,295
432,Josh Phegley,0.244,0.30796036091329154,218
289,Victor Robles,0.303,0.3077536696874738,557
338,Nico Hoerner,0.294,0.3077363315361901,189
376,Christin Stewart,0.28300000000000003,0.30743344925975485,362
423,Jon Jay,0.25,0.3072779955781739,228
404,Tony Wolters,0.26899999999999996,0.3056878125703394,368
390,Mallex Smith,0.275,0.30520440369131063,455
391,Carter Kieboom,0.275,0.30495859332497155,102
436,Hernan Perez,0.24,0.30494375430974324,144
427,Jarrod Dyson,0.248,0.30453680340792405,365
185,Willi Castro,0.326,0.3042608343506831,212
182,Andres Gimenez,0.327,0.3042358494643456,112
332,Ian Kinsler,0.295,0.30398485647363527,114
449,Humberto Arteaga,0.221,0.303425604649293,135
406,Travis Demeritte,0.267,0.3030970170069554,218
395,Ronny Rodriguez,0.273,0.3030951440358296,158
352,Michael Chavis,0.29,0.30270492321212145,346
418,Tomas Nido,0.254,0.3026371095381402,132
425,John Hicks,0.25,0.302609506566487,230
339,Cesar Puello,0.293,0.3024300857889427,135
430,Chris Davis,0.247,0.3018688584619678,263
269,Cedric Mullins II,0.309,0.30181447601877626,114
413,Ryan Cordell,0.26,0.3016049715951415,151
440,Grayson Greiner,0.237,0.3011928463447423,137
424,Charlie Culberson,0.25,0.3010785661018807,104
450,Gregory Polanco,0.221,0.2996827692188511,178
437,J.T. Riddle,0.24,0.29867514335858397,160
421,Brandon Drury,0.251,0.2985515107235526,310
408,Nicky Lopez,0.264,0.298537136219078,487
405,Cory Spangenberg,0.267,0.29739195805810514,102
448,Billy Hamilton,0.222,0.29651328333036375,210
414,Austin Barnes,0.258,0.29589339729405034,191
407,Marco Hernandez,0.266,0.2953666426911672,155
439,Meibrys Viloria,0.23800000000000002,0.2952732268400099,172
444,Lewis Brinson,0.231,0.29418025537706516,246
442,Albert Almora Jr.,0.23199999999999998,0.29324890689625105,217
434,Gordon Beckham,0.242,0.292728284081532,146
412,Dee Gordon,0.261,0.2912931205039935,322
431,Bubba Starling,0.244,0.289907490067446,253
429,Adalberto Mondesi,0.248,0.2897669699802492,387
443,Austin Hedges,0.231,0.2877386982429909,286
453,Jo Adell,0.207,0.2852496314651192,125
445,Mike Zunino,0.231,0.2847117931542771,257
447,Keon Broxton,0.223,0.28460621686521476,148
398,Cole Tucker,0.272,0.28460311431443147,167
452,Jake Rogers,0.21600000000000003,0.2833617925819797,128
435,Scooter Gennett,0.24100000000000002,0.28308409912054094,139
451,Jeff Mathis,0.217,0.28244793452114414,200
